time, adversario do z4, temporada, rodada, data, mandante, placar, estadio.


Flamengo,Vasco da Gama,2015,28,27/09/2015,Sim,1x2,Estádio do Maracanã
Flamengo,Avaí,2015,3,24/05/2015,Não,2x1,Estádio da Ressacada
Flamengo,Vasco da Gama,2015,9,28/06/2015,Não,1x0,Estádio São Januário
Flamengo,Internacional,2016,31,16/10/2016,Não,2x1,Estádio Beira-Rio
Flamengo,Figueirense,2016,7,12/06/2016,Não,1x0,Orlando Scarpelli
Flamengo,Ponte Preta,2017,26,02/10/2017,Não,1x0,Moisés Lucarelli
Flamengo,Coritiba,2017,35,16/11/2017,Não,1x0,Estádio Major Antônio Couto Pereira
Flamengo,Grêmio,2021,21,19/09/2021,Sim,0x1,Estádio do Maracanã
Flamengo,Avaí,2022,38,12/11/2022,Sim,1x2,Estádio do Maracanã
Flamengo,Santos,2023,31,01/11/2023,Sim,1x2,Estádio do Maracanã
Flamengo,Fortaleza,2025,30,25/10/2025,Não,1x0,Estádio Governador Plácido Castelo
