time,temporada,rodada,data,horario,dia_semana,mes,adversario,resultado,gols_favor,gols_sofridos,condicao,arbitro,idade_media_titular_time,altura_media_titular_time,idade_media_titular_adv,altura_media_titular_adv,estadio,publico
Atlético Mineiro,2015,1,09/05/2015,18:30,Sábado,Maio,Palmeiras,Empate,2,2,Visitante,Felipe Gomes Da Silva,27.8,182.9,28.2,178.6,Nubank Parque,28781
Atlético Mineiro,2015,2,17/05/2015,16:00,Domingo,Maio,Fluminense,Vitória,4,1,Mandante,Anderson Daronco,26.3,180.7,27.3,181.5,Arena Independência,11958
Atlético Mineiro,2015,3,24/05/2015,16:00,Domingo,Maio,Athletico,Derrota,0,1,Visitante,Thiago Duarte Peixoto,26.4,180.7,24.9,178.7,Arena da Baixada,13510
Atlético Mineiro,2015,4,31/05/2015,16:00,Domingo,Maio,Vasco da Gama,Vitória,3,0,Mandante,Alisson Sidnei Furtado,26.9,180.7,28.3,179.6,Arena Independência,17958
Atlético Mineiro,2015,5,03/06/2015,22:00,Quarta,Junho,Avaí,Vitória,4,1,Visitante,Pablo Dos Santos Alves,26.5,180.9,26.8,180.8,Estádio da Ressacada,7101
Atlético Mineiro,2015,6,06/06/2015,18:30,Sábado,Junho,Cruzeiro,Derrota,1,3,Mandante,Marcelo de Lima Henrique,26.6,180.2,26.7,177.8,Arena Independência,20092
Atlético Mineiro,2015,7,10/06/2015,19:30,Quarta,Junho,Santos,Empate,2,2,Mandante,Wilton Pereira Sampaio,27.0,181.4,25.5,179.5,Arena Independência,10536
Atlético Mineiro,2015,8,20/06/2015,16:30,Sábado,Junho,Flamengo,Vitória,2,0,Visitante,Thiago Duarte Peixoto,27.9,181.7,27.6,179.2,Estádio do Maracanã,42318
Atlético Mineiro,2015,9,28/06/2015,11:00,Domingo,Junho,Joinville,Vitória,1,0,Mandante,Emerson Luiz Sobral,28.1,181.8,26.1,181.5,Arena Independência,55987
Atlético Mineiro,2015,10,01/07/2015,21:00,Quarta,Julho,Coritiba,Vitória,2,0,Mandante,Braulio Da Silva Machado,27.3,181.4,26.4,180.3,Arena Independência,13309
Atlético Mineiro,2015,11,05/07/2015,18:30,Domingo,Julho,Internacional,Vitória,3,1,Visitante,Raphael Claus,27.8,181.2,27.1,180.8,Estádio Beira-Rio,16812
Atlético Mineiro,2015,12,08/07/2015,22:00,Quarta,Julho,Sport Recife,Vitória,2,1,Mandante,Elmo Alves Resende Cunha,28.3,181.8,27.5,180.2,Arena Independência,50684
Atlético Mineiro,2015,13,11/07/2015,21:00,Sábado,Julho,Ponte Preta,Vitória,2,0,Visitante,Rodolpho Toski Marques,28.3,181.8,26.4,177.9,Moisés Lucarelli,4733
Atlético Mineiro,2015,14,18/07/2015,21:00,Sábado,Julho,Corinthians,Derrota,0,1,Visitante,Anderson Daronco,27.8,181.1,26.7,179.9,Neo Química Arena,36280
Atlético Mineiro,2015,15,25/07/2015,21:00,Sábado,Julho,Figueirense,Vitória,1,0,Mandante,Luiz Flávio de Oliveira,28.4,181.5,26.4,182.4,Arena Independência,16056
Atlético Mineiro,2015,16,29/07/2015,22:00,Quarta,Julho,São Paulo,Vitória,3,1,Mandante,Dewson Fernando Freitas da Silva,27.9,180.9,27.6,182.0,Arena Independência,47606
Atlético Mineiro,2015,17,09/08/2015,16:00,Domingo,Agosto,Goiás,Empate,0,0,Visitante,Raphael Claus,27.9,179.6,25.1,180.2,Serra Dourada,7762
Atlético Mineiro,2015,18,13/08/2015,21:00,Quinta,Agosto,Grêmio,Derrota,0,2,Mandante,Dewson Fernando Freitas da Silva,28.1,180.7,25.8,182.1,Arena Independência,49047
Atlético Mineiro,2015,19,16/08/2015,18:30,Domingo,Agosto,Chapecoense,Derrota,1,2,Visitante,Marcos Andre Gomes da Penha,28.5,181.2,29.0,179.5,Arena Condá,8133
Atlético Mineiro,2015,20,23/08/2015,18:30,Domingo,Agosto,Palmeiras,Vitória,2,1,Mandante,Sandro Meira Ricci,27.4,180.5,29.7,181.7,Arena Independência,17464
Atlético Mineiro,2015,21,30/08/2015,16:00,Domingo,Agosto,Fluminense,Vitória,2,1,Visitante,Marielson Alves Silva,27.5,180.4,27.0,181.9,Estádio do Maracanã,20533
Atlético Mineiro,2015,22,02/09/2015,21:00,Quarta,Setembro,Athletico,Derrota,0,1,Mandante,Marcelo de Lima Henrique,28.9,180.6,23.6,180.1,Arena Independência,12064
Atlético Mineiro,2015,23,05/09/2015,19:30,Sábado,Setembro,Vasco da Gama,Vitória,2,1,Visitante,Elmo Alves Resende Cunha,29.5,182.5,28.7,181.9,Estádio do Maracanã,8768
Atlético Mineiro,2015,24,09/09/2015,19:30,Quarta,Setembro,Avaí,Vitória,2,0,Mandante,Luis Teixeira Rocha,28.6,180.3,26.8,179.9,Arena Independência,10388
Atlético Mineiro,2015,25,13/09/2015,16:00,Domingo,Setembro,Cruzeiro,Empate,1,1,Visitante,Leandro Pedro Vuaden,27.7,180.2,28.9,178.8,Governador Magalhães Pinto,45991
Atlético Mineiro,2015,26,16/09/2015,22:00,Quarta,Setembro,Santos,Derrota,0,4,Visitante,Heber Roberto Lopes,26.9,180.2,26.5,181.0,Estádio Urbano Caldeira,6179
Atlético Mineiro,2015,27,20/09/2015,16:00,Domingo,Setembro,Flamengo,Vitória,4,1,Mandante,Sandro Meira Ricci,28.5,180.9,26.8,179.7,Arena Independência,20203
Atlético Mineiro,2015,28,27/09/2015,16:00,Domingo,Setembro,Joinville,Empate,2,2,Visitante,Raphael Claus,28.2,180.4,27.7,180.0,Arena Joinville,7486
Atlético Mineiro,2015,29,03/10/2015,18:30,Sábado,Outubro,Coritiba,Vitória,3,0,Visitante,Pericles Bassols Pegado Cortez,28.0,181.1,30.2,176.7,Estádio Major Antônio Couto Pereira,14469
Atlético Mineiro,2015,30,14/10/2015,19:30,Quarta,Outubro,Internacional,Vitória,2,1,Mandante,Andre Luiz de Freitas Castro,27.5,180.5,27.7,181.3,Arena Independência,19023
Atlético Mineiro,2015,31,18/10/2015,17:30,Domingo,Outubro,Sport Recife,Derrota,1,4,Visitante,Wilton Pereira Sampaio,26.8,180.1,27.6,180.7,Ilha do Retiro,15459
Atlético Mineiro,2015,32,25/10/2015,18:30,Domingo,Outubro,Ponte Preta,Vitória,2,1,Mandante,Sandro Meira Ricci,28.2,180.4,28.4,178.5,Arena Independência,13232
Atlético Mineiro,2015,33,01/11/2015,16:00,Domingo,Novembro,Corinthians,Derrota,0,3,Mandante,Heber Roberto Lopes,28.9,180.5,27.3,180.6,Arena Independência,21798
Atlético Mineiro,2015,34,08/11/2015,16:00,Domingo,Novembro,Figueirense,Vitória,1,0,Visitante,Marcelo Aparecido Ribeiro de Souza,28.3,180.4,27.3,181.4,Orlando Scarpelli,11556
Atlético Mineiro,2015,35,19/11/2015,21:00,Quinta,Novembro,São Paulo,Derrota,2,4,Visitante,Leandro Pedro Vuaden,27.8,180.2,27.3,182.2,MorumBIS,18217
Atlético Mineiro,2015,36,22/11/2015,16:00,Domingo,Novembro,Goiás,Empate,2,2,Mandante,Nielson Nogueira Dias,28.3,180.4,26.5,180.5,Arena Independência,9373
Atlético Mineiro,2015,37,29/11/2015,16:00,Domingo,Novembro,Grêmio,Derrota,1,2,Visitante,Pericles Bassols Pegado Cortez,28.3,180.1,25.4,181.6,Arena do Grêmio,36862
Atlético Mineiro,2015,38,06/12/2015,16:00,Domingo,Dezembro,Chapecoense,Vitória,3,0,Mandante,Wilton Pereira Sampaio,27.6,181.7,29.4,178.2,Arena Independência,32229
Atlético Mineiro,2016,1,14/05/2016,18:30,Sábado,Maio,Santos,Vitória,1,0,Mandante,Jailson Macedo Freitas,24.6,180.5,25.8,180.8,Arena Independência,5403
Atlético Mineiro,2016,2,22/05/2016,11:00,Domingo,Maio,Athletico,Empate,1,1,Visitante,Flavio Rodrigues De Souza,25.7,179.8,25.1,180.8,Arena da Baixada,11804
Atlético Mineiro,2016,3,26/05/2016,21:00,Quinta,Maio,Grêmio,Derrota,0,3,Mandante,Raphael Claus,27.4,181.0,28.2,182.1,Arena Independência,15742
Atlético Mineiro,2016,4,29/05/2016,16:00,Domingo,Maio,Vitória,Empate,1,1,Visitante,Rodolpho Toski Marques,27.0,181.2,27.1,180.0,Arena Fonte Nova,12791
Atlético Mineiro,2016,5,01/06/2016,21:45,Quarta,Junho,Fluminense,Empate,1,1,Mandante,Luiz Flávio de Oliveira,27.2,180.2,27.4,181.5,Arena Independência,8144
Atlético Mineiro,2016,6,05/06/2016,16:00,Domingo,Junho,Sport Recife,Empate,4,4,Visitante,Rodrigo Nunes De Sa,27.2,180.2,28.9,178.2,Ilha do Retiro,14170
Atlético Mineiro,2016,7,12/06/2016,16:00,Domingo,Junho,Cruzeiro,Derrota,2,3,Mandante,Marcelo Aparecido Ribeiro de Souza,29.1,180.5,26.6,177.7,Arena Independência,19484
Atlético Mineiro,2016,8,16/06/2016,19:30,Quinta,Junho,Internacional,Derrota,0,2,Visitante,Pericles Bassols Pegado Cortez,28.2,180.2,25.7,180.5,Estádio Beira-Rio,21881
Atlético Mineiro,2016,9,19/06/2016,11:00,Domingo,Junho,Ponte Preta,Vitória,3,0,Mandante,Sandro Meira Ricci,29.1,180.5,28.2,178.5,Arena Independência,16042
Atlético Mineiro,2016,10,22/06/2016,21:45,Quarta,Junho,Corinthians,Vitória,2,1,Mandante,Wilton Pereira Sampaio,29.0,180.2,26.5,179.7,Arena Independência,34426
Atlético Mineiro,2016,11,26/06/2016,11:00,Domingo,Junho,América Mineiro,Vitória,1,0,Visitante,Anderson Daronco,29.1,180.5,28.0,180.3,Arena Independência,9516
Atlético Mineiro,2016,12,30/06/2016,21:00,Quinta,Junho,Botafogo,Vitória,5,3,Mandante,Raphael Claus,28.1,181.3,27.2,180.7,Governador Magalhães Pinto,36129
Atlético Mineiro,2016,13,03/07/2016,19:00,Domingo,Julho,Figueirense,Empate,1,1,Visitante,Rafael Traci,27.9,181.5,26.6,177.6,Orlando Scarpelli,5226
Atlético Mineiro,2016,14,10/07/2016,11:00,Domingo,Julho,Flamengo,Derrota,0,2,Visitante,Marielson Alves Silva,27.7,180.3,26.8,181.1,Arena BRB Mané Garrincha,23390
Atlético Mineiro,2016,15,18/07/2016,20:00,Segunda,Julho,Coritiba,Vitória,2,1,Mandante,Leandro Pedro Vuaden,28.7,182.1,30.2,178.4,Arena Independência,20891
Atlético Mineiro,2016,16,24/07/2016,11:00,Domingo,Julho,Palmeiras,Vitória,1,0,Visitante,Wagner do Nascimento Magalhaes,30.7,182.3,28.2,178.7,Nubank Parque,39400
Atlético Mineiro,2016,17,30/07/2016,21:00,Sábado,Julho,Santa Cruz,Vitória,3,0,Mandante,Dewson Fernando Freitas da Silva,31.3,182.7,29.2,181.7,Arena Independência,16804
Atlético Mineiro,2016,18,04/08/2016,19:30,Quinta,Agosto,São Paulo,Vitória,2,1,Visitante,Leandro Pedro Vuaden,30.7,183.4,28.4,180.2,MorumBIS,15717
Atlético Mineiro,2016,19,08/08/2016,20:00,Segunda,Agosto,Chapecoense,Vitória,3,1,Mandante,Pericles Bassols Pegado Cortez,31.3,182.7,28.5,179.8,Arena Independência,17484
Atlético Mineiro,2016,20,14/08/2016,16:00,Domingo,Agosto,Santos,Derrota,0,3,Visitante,Wagner do Nascimento Magalhaes,31.3,182.7,26.6,182.6,Estádio Urbano Caldeira,10250
Atlético Mineiro,2016,21,21/08/2016,11:00,Domingo,Agosto,Athletico,Vitória,1,0,Mandante,Braulio Da Silva Machado,29.8,182.4,24.2,181.2,Arena Independência,17465
Atlético Mineiro,2016,22,28/08/2016,16:00,Domingo,Agosto,Grêmio,Empate,1,1,Visitante,Claudio Francisco Lima E. Silva,29.5,182.9,27.3,181.7,Arena do Grêmio,30631
Atlético Mineiro,2016,23,07/09/2016,19:30,Quarta,Setembro,Vitória,Vitória,2,1,Mandante,Jean Pierre Goncalves Lima,28.9,180.0,26.0,178.1,Arena Independência,13532
Atlético Mineiro,2016,24,12/09/2016,20:00,Segunda,Setembro,Fluminense,Derrota,2,4,Visitante,Eduardo Tomaz de Aquino Valadao,30.6,182.8,27.0,178.3,Estádio Giulite Coutinho,9004
Atlético Mineiro,2016,25,15/09/2016,19:30,Quinta,Setembro,Sport Recife,Vitória,1,0,Mandante,Thiago Duarte Peixoto,28.4,181.4,28.1,177.8,Arena Independência,11389
Atlético Mineiro,2016,26,18/09/2016,16:00,Domingo,Setembro,Cruzeiro,Empate,1,1,Visitante,Braulio Da Silva Machado,29.5,180.7,28.7,179.8,Governador Magalhães Pinto,43381
Atlético Mineiro,2016,27,25/09/2016,18:30,Domingo,Setembro,Internacional,Vitória,3,1,Mandante,Pericles Bassols Pegado Cortez,29.0,180.1,27.3,180.2,Arena Independência,20311
Atlético Mineiro,2016,28,01/10/2016,16:30,Sábado,Outubro,Ponte Preta,Vitória,2,1,Visitante,Diego Almeida Real,28.4,179.5,28.0,182.1,Moisés Lucarelli,4946
Atlético Mineiro,2016,29,05/10/2016,21:00,Quarta,Outubro,Corinthians,Empate,0,0,Visitante,Rodolpho Toski Marques,29.3,181.3,24.8,180.6,Neo Química Arena,17135
Atlético Mineiro,2016,30,13/10/2016,19:30,Quinta,Outubro,América Mineiro,Vitória,3,0,Mandante,Raphael Claus,29.6,180.7,28.7,180.2,Governador Magalhães Pinto,27737
Atlético Mineiro,2016,31,16/10/2016,16:00,Domingo,Outubro,Botafogo,Derrota,2,3,Visitante,Reway Wagner,29.6,180.7,27.7,178.9,Estádio Luso Brasileiro,14595
Atlético Mineiro,2016,32,23/10/2016,18:30,Domingo,Outubro,Figueirense,Vitória,3,0,Mandante,Grazianni Maciel Rocha,27.2,178.7,28.9,180.5,Arena Independência,14615
Atlético Mineiro,2016,33,29/10/2016,15:30,Sábado,Outubro,Flamengo,Empate,2,2,Mandante,Braulio Da Silva Machado,29.2,179.1,28.9,180.4,Arena Independência,45952
Atlético Mineiro,2016,34,06/11/2016,18:30,Domingo,Novembro,Coritiba,Derrota,0,2,Visitante,Anderson Daronco,28.0,178.8,27.4,177.4,Estádio Major Antônio Couto Pereira,11847
Atlético Mineiro,2016,35,17/11/2016,20:00,Quinta,Novembro,Palmeiras,Empate,1,1,Mandante,Braulio Da Silva Machado,30.0,180.4,27.4,179.2,Arena Independência,14942
Atlético Mineiro,2016,36,20/11/2016,18:30,Domingo,Novembro,Santa Cruz,Empate,3,3,Visitante,Wagner do Nascimento Magalhaes,26.5,179.4,29.5,178.8,Estádio do Arruda,3221
Atlético Mineiro,2016,37,27/11/2016,16:00,Domingo,Novembro,São Paulo,Derrota,1,2,Mandante,Dewson Fernando Freitas da Silva,26.5,180.5,25.1,178.4,Arena Independência,8901
Atlético Mineiro,2017,1,13/05/2017,16:00,Sábado,Maio,Flamengo,Empate,1,1,Visitante,Jailson Macedo Freitas,30.1,179.8,28.2,180.1,Estádio do Maracanã,50220
Atlético Mineiro,2017,2,21/05/2017,16:00,Domingo,Maio,Fluminense,Derrota,1,2,Mandante,Jean Pierre Goncalves Lima,29.2,179.8,25.1,181.3,Arena Independência,16145
Atlético Mineiro,2017,3,28/05/2017,11:00,Domingo,Maio,Ponte Preta,Empate,2,2,Mandante,Wagner do Nascimento Magalhaes,30.0,180.4,28.7,181.1,Arena Independência,19553
Atlético Mineiro,2017,4,04/06/2017,16:00,Domingo,Junho,Palmeiras,Empate,0,0,Visitante,Marcelo de Lima Henrique,28.1,180.1,28.8,180.3,Nubank Parque,34240
Atlético Mineiro,2017,5,07/06/2017,19:30,Quarta,Junho,Avaí,Vitória,1,0,Mandante,Bruno Arleu de Araujo,28.4,180.9,28.3,178.4,Arena Independência,12648
Atlético Mineiro,2017,6,11/06/2017,16:00,Domingo,Junho,Vitória,Derrota,0,2,Visitante,Raphael Claus,28.9,182.5,28.2,178.7,Estádio Manoel Barradas,6812
Atlético Mineiro,2017,7,14/06/2017,19:30,Quarta,Junho,Athletico,Derrota,0,1,Mandante,Pericles Bassols Pegado Cortez,30.4,182.6,27.4,179.5,Arena Independência,10924
Atlético Mineiro,2017,8,18/06/2017,16:00,Domingo,Junho,São Paulo,Vitória,2,1,Visitante,Braulio Da Silva Machado,30.3,182.1,25.6,181.5,MorumBIS,22704
Atlético Mineiro,2017,9,21/06/2017,21:45,Quarta,Junho,Sport Recife,Empate,2,2,Mandante,Wilton Pereira Sampaio,30.0,181.5,29.0,178.1,Arena Independência,12027
Atlético Mineiro,2017,10,25/06/2017,19:00,Domingo,Junho,Chapecoense,Vitória,1,0,Visitante,Joao Batista de Arruda,25.0,181.2,25.9,182.8,Arena Condá,9013
Atlético Mineiro,2017,11,02/07/2017,16:00,Domingo,Julho,Cruzeiro,Vitória,3,1,Mandante,Anderson Daronco,29.8,181.0,28.3,179.2,Arena Independência,17251
Atlético Mineiro,2017,12,09/07/2017,19:00,Domingo,Julho,Botafogo,Empate,1,1,Visitante,Wilton Pereira Sampaio,28.5,181.5,28.7,181.2,Estádio Nilton Santos,9630
Atlético Mineiro,2017,13,12/07/2017,19:30,Quarta,Julho,Santos,Derrota,0,1,Mandante,Marcelo de Lima Henrique,27.6,180.3,27.6,182.0,Arena Independência,12949
Atlético Mineiro,2017,14,16/07/2017,16:00,Domingo,Julho,Atlético Goianiense,Vitória,2,1,Visitante,Pablo Dos Santos Alves,27.0,180.7,27.1,181.9,Estádio Olímpico Pedro Ludovico,5235
Atlético Mineiro,2017,15,19/07/2017,21:45,Quarta,Julho,Bahia,Derrota,0,2,Mandante,Marcelo Aparecido Ribeiro de Souza,28.4,180.5,25.8,179.9,Arena Independência,12177
Atlético Mineiro,2017,16,23/07/2017,19:00,Domingo,Julho,Vasco da Gama,Derrota,1,2,Mandante,Raphael Claus,27.2,180.6,25.7,180.1,Arena Independência,12497
Atlético Mineiro,2017,17,30/07/2017,16:00,Domingo,Julho,Coritiba,Vitória,2,0,Visitante,Wagner do Nascimento Magalhaes,29.2,180.8,27.1,179.9,Estádio Major Antônio Couto Pereira,11564
Atlético Mineiro,2017,18,02/08/2017,21:00,Quarta,Agosto,Corinthians,Derrota,0,2,Mandante,Anderson Daronco,29.4,180.1,25.6,179.1,Arena Independência,45283
Atlético Mineiro,2017,19,06/08/2017,16:00,Domingo,Agosto,Grêmio,Derrota,0,2,Visitante,Flavio Rodrigues De Souza,25.4,181.5,28.2,179.7,Arena do Grêmio,22702
Atlético Mineiro,2017,20,13/08/2017,16:00,Domingo,Agosto,Flamengo,Vitória,2,0,Mandante,Elmo Alves Resende Cunha,30.3,180.4,28.3,180.7,Arena Independência,11031
Atlético Mineiro,2017,21,21/08/2017,20:00,Segunda,Agosto,Fluminense,Derrota,1,2,Visitante,Vinicius Goncalves Dias Araujo,29.7,181.2,25.7,181.7,Estádio Giulite Coutinho,10412
Atlético Mineiro,2017,22,27/08/2017,16:00,Domingo,Agosto,Ponte Preta,Vitória,2,1,Visitante,Rodolpho Toski Marques,29.7,180.5,28.1,178.8,Moisés Lucarelli,5779
Atlético Mineiro,2017,23,09/09/2017,16:00,Sábado,Setembro,Palmeiras,Empate,1,1,Mandante,Leandro Pedro Vuaden,29.4,180.2,30.1,179.6,Arena Independência,25672
Atlético Mineiro,2017,24,17/09/2017,11:00,Domingo,Setembro,Avaí,Empate,1,1,Visitante,Andre Luiz de Freitas Castro,29.9,179.5,27.7,180.2,Estádio da Ressacada,9201
Atlético Mineiro,2017,25,24/09/2017,19:00,Domingo,Setembro,Vitória,Derrota,1,3,Mandante,Wilton Pereira Sampaio,28.5,180.6,25.4,182.2,Arena Independência,10865
Atlético Mineiro,2017,26,01/10/2017,19:00,Domingo,Outubro,Athletico,Vitória,2,0,Visitante,Reway Wagner,30.0,180.4,26.8,181.1,Arena da Baixada,11418
Atlético Mineiro,2017,27,11/10/2017,21:45,Quarta,Outubro,São Paulo,Vitória,1,0,Mandante,Heber Roberto Lopes,29.9,180.9,26.0,180.8,Arena Independência,17606
Atlético Mineiro,2017,28,15/10/2017,16:00,Domingo,Outubro,Sport Recife,Empate,1,1,Visitante,Leandro Bizzio Marinho,29.1,179.4,29.0,179.5,Ilha do Retiro,20273
