time,temporada,rodada,data,horario,dia_semana,mes,adversario,resultado,gols_favor,gols_sofridos,condicao,arbitro,idade_media_titular_time,desvio_idade_media_time,altura_media_titular_time,desvio_altura_media_time,idade_media_titular_adv,desvio_idade_media_adv,altura_media_titular_adv,desvio_altura_media_adv,estadio
Flamengo,2015,1,10/05/2015,16:00,Domingo,05,São Paulo,Derrota,1,2,Visitante,Marcelo de Lima Henrique,26.5,2.9,178.5,5.5,26.5,6.6,182.8,4.7,MorumBIS
Flamengo,2015,2,17/05/2015,16:00,Domingo,05,Sport Recife,Empate,2,2,Mandante,Dewson Fernando Freitas da Silva,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Estádio do Maracanã
Flamengo,2015,3,24/05/2015,16:00,Domingo,05,Avaí,Derrota,1,2,Visitante,Raphael Claus,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Estádio da Ressacada
Flamengo,2015,4,31/05/2015,18:30,Domingo,05,Fluminense,Derrota,2,3,Mandante,Sandro Meira Ricci,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Estádio do Maracanã
Flamengo,2015,5,03/06/2015,22:00,Quarta,06,Cruzeiro,Derrota,0,1,Visitante,Luiz Flávio de Oliveira,27.1,3.6,178.9,6.3,26.8,4.2,177.7,7.2,Governador Magalhães Pinto
Flamengo,2015,6,06/06/2015,18:30,Sábado,06,Chapecoense,Vitória,1,0,Mandante,Anderson Daronco,26.5,3.4,180.1,5.1,28.0,2.5,179.3,6.6,Estádio do Maracanã
Flamengo,2015,7,13/06/2015,16:30,Sábado,06,Coritiba,Vitória,1,0,Visitante,Guilherme Ceretta de Lima,26.8,3.2,179.4,5.4,26.0,3.3,178.4,5.2,Estádio Major Antônio Couto Pereira
Flamengo,2015,8,20/06/2015,16:30,Sábado,06,Atlético Mineiro,Derrota,0,2,Mandante,Thiago Duarte Peixoto,27.6,4.3,179.2,7.0,27.9,4.1,181.7,6.9,Estádio do Maracanã
Flamengo,2015,9,28/06/2015,18:30,Domingo,06,Vasco da Gama,Derrota,0,1,Visitante,Heber Roberto Lopes,27.2,4.4,178.9,7.6,27.8,5.1,180.1,4.3,Estádio São Januário
Flamengo,2015,10,01/07/2015,22:00,Quarta,07,Joinville,Vitória,1,0,Visitante,Leandro Pedro Vuaden,25.8,4.6,180.6,6.4,24.5,4.1,182.5,4.0,Arena Joinville
Flamengo,2015,11,05/07/2015,18:30,Domingo,07,Figueirense,Derrota,1,2,Mandante,Jailson Macedo Freitas,25.9,4.4,180.4,6.2,28.3,2.7,182.4,6.4,Estádio do Maracanã
Flamengo,2015,12,08/07/2015,22:00,Quarta,07,Internacional,Vitória,2,1,Visitante,Wilton Pereira Sampaio,27.1,4.5,181.5,6.5,24.9,4.8,179.7,7.4,Estádio Beira-Rio
Flamengo,2015,13,12/07/2015,16:00,Domingo,07,Corinthians,Derrota,0,3,Mandante,Leandro Pedro Vuaden,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Estádio do Maracanã
Flamengo,2015,14,18/07/2015,18:30,Sábado,07,Grêmio,Vitória,1,0,Mandante,Ricardo Marques Ribeiro,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Estádio do Maracanã
Flamengo,2015,15,26/07/2015,16:00,Domingo,07,Goiás,Vitória,1,0,Visitante,Heber Roberto Lopes,26.1,3.8,182.4,6.7,25.3,4.1,180.5,4.4,Serra Dourada
Flamengo,2015,16,02/08/2015,16:00,Domingo,08,Santos,Empate,2,2,Mandante,Anderson Daronco,27.7,4.5,179.4,6.4,26.3,5.6,181.5,7.7,Estádio do Maracanã
Flamengo,2015,17,09/08/2015,16:00,Domingo,08,Ponte Preta,Derrota,0,1,Visitante,Jailson Macedo Freitas,27.2,4.7,180.0,7.4,27.1,3.6,178.0,6.9,Moisés Lucarelli
Flamengo,2015,18,12/08/2015,19:30,Quarta,08,Athletico,Vitória,3,2,Mandante,Marcelo Aparecido Ribeiro de Souza,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Estádio do Maracanã
Flamengo,2015,19,16/08/2015,11:00,Domingo,08,Palmeiras,Derrota,2,4,Visitante,Igor Junio Benevenuto,26.4,5.1,180.3,7.2,29.6,5.6,180.1,8.3,Nubank Parque
Flamengo,2015,20,23/08/2015,16:00,Domingo,08,São Paulo,Vitória,2,1,Mandante,Anderson Daronco,28.0,4.3,179.5,7.1,26.0,3.6,182.3,6.4,Estádio do Maracanã
Flamengo,2015,21,30/08/2015,16:00,Domingo,08,Sport Recife,Vitória,1,0,Visitante,Braulio Da Silva Machado,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Ilha do Retiro
Flamengo,2015,22,02/09/2015,21:00,Quarta,09,Avaí,Vitória,3,0,Mandante,Thiago Duarte Peixoto,28.1,3.9,178.3,5.7,26.3,3.6,180.5,8.0,Estádio do Maracanã
Flamengo,2015,23,06/09/2015,16:00,Domingo,09,Fluminense,Vitória,3,1,Visitante,Ricardo Marques Ribeiro,28.1,3.9,178.0,5.9,27.9,4.7,179.2,7.3,Estádio do Maracanã
Flamengo,2015,24,10/09/2015,21:00,Quinta,09,Cruzeiro,Vitória,2,0,Mandante,Marcelo Aparecido Ribeiro de Souza,26.4,4.5,180.6,5.3,28.0,5.1,179.3,6.8,Estádio do Maracanã
Flamengo,2015,25,13/09/2015,16:00,Domingo,09,Chapecoense,Vitória,3,1,Visitante,Anderson Daronco,25.8,3.5,180.5,6.1,29.6,2.7,181.0,6.4,Arena Condá
Flamengo,2015,26,17/09/2015,21:00,Quinta,09,Coritiba,Derrota,0,2,Mandante,Marielson Alves Silva,25.9,3.5,180.0,6.1,28.2,4.7,178.9,6.4,Estádio do Maracanã
Flamengo,2015,27,20/09/2015,16:00,Domingo,09,Atlético Mineiro,Derrota,1,4,Visitante,Sandro Meira Ricci,26.8,3.2,179.7,5.7,28.5,4.4,180.9,7.5,Arena Independência
Flamengo,2015,28,27/09/2015,16:00,Domingo,09,Vasco da Gama,Derrota,1,2,Mandante,Leandro Pedro Vuaden,27.2,5.0,180.0,6.6,30.8,4.1,181.4,5.8,Estádio do Maracanã
Flamengo,2015,29,04/10/2015,11:00,Domingo,10,Joinville,Vitória,2,0,Mandante,Luiz Flávio de Oliveira,25.9,3.9,181.2,7.0,27.5,5.9,180.4,5.1,Estádio do Maracanã
Flamengo,2015,30,14/10/2015,21:00,Quarta,10,Figueirense,Derrota,0,3,Visitante,Anderson Daronco,27.6,4.2,178.8,6.5,25.8,3.0,179.7,5.3,Orlando Scarpelli
Flamengo,2015,31,18/10/2015,15:00,Domingo,10,Internacional,Derrota,0,1,Mandante,Heber Roberto Lopes,27.3,5.0,179.7,6.8,26.9,4.5,182.0,6.9,Estádio do Maracanã
Flamengo,2015,32,25/10/2015,16:00,Domingo,10,Corinthians,Derrota,0,1,Visitante,Wilton Pereira Sampaio,26.8,3.6,180.3,5.8,27.5,4.5,180.3,8.9,Neo Química Arena
Flamengo,2015,33,01/11/2015,16:00,Domingo,11,Grêmio,Derrota,0,2,Visitante,Braulio Da Silva Machado,26.4,4.0,181.4,5.2,25.8,4.1,181.7,6.0,Arena do Grêmio
Flamengo,2015,34,08/11/2015,16:00,Domingo,11,Goiás,Vitória,4,1,Mandante,Luiz Flávio de Oliveira,26.9,4.8,179.7,6.0,25.5,3.6,178.6,5.3,Estádio do Maracanã
Flamengo,2015,35,19/11/2015,21:00,Quinta,11,Santos,Empate,0,0,Visitante,Heber Roberto Lopes,27.3,4.5,179.8,6.0,25.9,6.0,181.2,7.8,Estádio Urbano Caldeira
Flamengo,2015,36,22/11/2015,17:00,Domingo,11,Ponte Preta,Empate,1,1,Mandante,Dewson Fernando Freitas da Silva,28.3,4.0,179.2,6.2,27.1,4.3,177.5,7.8,Arena BRB Mané Garrincha
Flamengo,2015,37,29/11/2015,18:30,Domingo,11,Athletico,Derrota,0,3,Visitante,Marcelo Aparecido Ribeiro de Souza,27.3,2.3,179.1,5.6,26.2,5.0,177.5,5.3,Arena da Baixada
Flamengo,2015,38,06/12/2015,16:00,Domingo,12,Palmeiras,Derrota,1,2,Mandante,Reway Wagner,26.6,4.8,179.3,6.8,27.3,6.1,179.6,8.2,Estádio do Maracanã
Flamengo,2016,1,14/05/2016,16:00,Sábado,05,Sport Recife,Vitória,1,0,Mandante,Marcelo Aparecido Ribeiro de Souza,27.6,5.9,179.5,5.0,28.1,5.3,177.7,7.1,Estádio Raulino de Oliveira
Flamengo,2016,2,22/05/2016,16:00,Domingo,05,Grêmio,Derrota,0,1,Visitante,Luiz Flávio de Oliveira,27.1,5.1,179.3,4.9,28.0,3.3,182.4,6.7,Arena do Grêmio
Flamengo,2016,3,25/05/2016,21:00,Quarta,05,Chapecoense,Empate,2,2,Mandante,Diego Almeida Real,25.7,5.3,180.1,4.6,28.3,4.1,179.5,5.5,Estádio Raulino de Oliveira
Flamengo,2016,4,29/05/2016,11:00,Domingo,05,Ponte Preta,Vitória,2,1,Visitante,Anderson Daronco,24.5,3.9,180.6,5.9,26.9,5.0,181.6,6.1,Moisés Lucarelli
Flamengo,2016,5,02/06/2016,21:00,Quinta,06,Vitória,Vitória,1,0,Mandante,Igor Junio Benevenuto,24.2,3.5,181.3,5.2,27.1,3.7,180.0,6.5,Estádio Raulino de Oliveira
Flamengo,2016,6,05/06/2016,16:00,Domingo,06,Palmeiras,Derrota,1,2,Mandante,Dewson Fernando Freitas da Silva,24.8,4.0,179.9,6.2,25.4,5.3,179.9,7.2,Arena BRB Mané Garrincha
Flamengo,2016,7,12/06/2016,16:00,Domingo,06,Figueirense,Derrota,0,1,Visitante,Leandro Pedro Vuaden,25.2,4.0,180.5,5.1,28.4,4.0,180.9,8.6,Orlando Scarpelli
Flamengo,2016,8,15/06/2016,21:45,Quarta,06,Cruzeiro,Vitória,1,0,Visitante,Raphael Claus,25.7,3.8,181.5,6.1,25.9,5.3,183.3,5.8,Governador Magalhães Pinto
