time,temporada,rodada,data,horario,dia_semana,mes,adversario,resultado,gols_favor,gols_sofridos,condicao,arbitro,idade_media_titular_time,desvio_idade_media_time,altura_media_titular_time,desvio_altura_media_time,idade_media_titular_adv,desvio_idade_media_adv,altura_media_titular_adv,desvio_altura_media_adv,estadio,publico
Bahia,2017,1,14/05/2017,16:00,Domingo,05,Athletico,Vitória,6,2,Mandante,Flavio Rodrigues De Souza,26.1,3.5,179.2,7.5,25.5,4.4,181.8,6.2,Arena Fonte Nova,8127
Bahia,2017,2,21/05/2017,11:00,Domingo,05,Vasco da Gama,Derrota,1,2,Visitante,Leandro Bizzio Marinho,26.4,3.5,180.3,6.8,26.6,5.9,179.6,5.9,Estádio São Januário,19030
Bahia,2017,3,28/05/2017,19:00,Domingo,05,Botafogo,Derrota,0,1,Visitante,Rodolpho Toski Marques,25.8,3.2,179.6,7.4,26.5,3.3,179.3,6.2,Estádio Nilton Santos,7886
Bahia,2017,4,05/06/2017,20:00,Segunda,06,Atlético Goianiense,Vitória,3,0,Mandante,Rodrigo Batista Raposo,26.0,3.1,180.3,6.8,26.6,2.2,182.0,6.3,Arena Fonte Nova,13364
Bahia,2017,5,08/06/2017,21:00,Quinta,06,Cruzeiro,Vitória,1,0,Mandante,Wagner do Nascimento Magalhaes,26.5,3.5,179.5,6.9,28.5,4.0,178.9,6.3,Arena Fonte Nova,18917
Bahia,2017,6,12/06/2017,20:00,Segunda,06,Grêmio,Derrota,0,1,Visitante,Eduardo Tomaz de Aquino Valadao,26.5,3.5,179.5,6.9,27.3,3.8,179.4,6.4,Arena do Grêmio,22103
Bahia,2017,7,15/06/2017,16:00,Quinta,06,Coritiba,Empate,0,0,Visitante,Reway Wagner,25.9,3.1,179.7,7.2,27.4,4.0,178.5,6.1,Estádio Major Antônio Couto Pereira,19534
Bahia,2017,8,18/06/2017,16:00,Domingo,06,Palmeiras,Derrota,2,4,Mandante,Rodolpho Toski Marques,25.7,3.2,179.7,6.9,28.1,5.1,179.7,7.9,Arena Fonte Nova,33186
Bahia,2017,9,22/06/2017,19:30,Quinta,06,Corinthians,Derrota,0,3,Visitante,Dewson Fernando Freitas da Silva,24.8,2.8,180.0,6.9,26.7,4.0,179.3,8.8,Neo Química Arena,34250
Bahia,2017,10,25/06/2017,18:30,Domingo,06,Flamengo,Derrota,0,1,Mandante,Igor Junio Benevenuto,26.0,3.7,179.4,6.9,27.6,4.4,179.5,7.2,Arena Fonte Nova,21929
Bahia,2017,11,02/07/2017,16:00,Domingo,07,Vitória,Empate,0,0,Visitante,Raphael Claus,25.3,3.1,177.5,6.8,28.8,4.2,180.4,6.4,Estádio Manoel Barradas,10741
Bahia,2017,12,09/07/2017,16:00,Domingo,07,Fluminense,Empate,1,1,Mandante,Flavio Rodrigues De Souza,26.5,3.3,178.7,7.1,25.3,3.7,181.5,7.2,Arena Fonte Nova,18267
Bahia,2017,13,12/07/2017,19:30,Quarta,07,Ponte Preta,Vitória,3,0,Visitante,Rafael Traci,25.6,3.3,180.4,7.2,30.1,5.4,178.9,7.9,Moisés Lucarelli,4181
Bahia,2017,14,16/07/2017,19:00,Domingo,07,Avaí,Empate,1,1,Mandante,Eduardo Tomaz de Aquino Valadao,24.7,3.6,178.6,6.7,26.8,3.4,179.3,7.7,Arena Fonte Nova,12389
Bahia,2017,15,19/07/2017,21:45,Quarta,07,Atlético Mineiro,Vitória,2,0,Visitante,Marcelo Aparecido Ribeiro de Souza,25.8,3.9,179.9,6.6,28.4,4.4,180.5,6.4,Arena Independência,12177
Bahia,2017,16,23/07/2017,11:00,Domingo,07,Santos,Derrota,0,3,Visitante,Wagner do Nascimento Magalhaes,26.1,3.9,180.0,6.7,27.2,3.2,182.8,6.5,Mercado Livre Arena Pacaembu,32869
Bahia,2017,17,30/07/2017,16:00,Domingo,07,Sport Recife,Derrota,1,3,Mandante,Elmo Alves Resende Cunha,25.4,3.0,180.9,6.9,26.6,5.6,179.1,4.7,Arena Fonte Nova,17869
Bahia,2017,18,02/08/2017,19:30,Quarta,08,Chapecoense,Empate,1,1,Visitante,Flavio Rodrigues De Souza,26.0,3.1,180.8,7.2,26.4,3.7,182.0,7.0,Arena Condá,3466
Bahia,2017,19,06/08/2017,16:00,Domingo,08,São Paulo,Vitória,2,1,Mandante,Joao Batista de Arruda,26.7,3.1,180.0,7.4,26.6,3.9,182.0,6.4,Arena Fonte Nova,24072
Bahia,2017,20,13/08/2017,19:00,Domingo,08,Athletico,Derrota,1,4,Visitante,Sandro Meira Ricci,25.1,2.6,180.3,6.7,26.6,3.6,180.1,6.0,Arena da Baixada,11964
