time,temporada,rodada,data,horario,dia_semana,mes,adversario,resultado,gols_favor,gols_sofridos,condicao,arbitro,idade_media_titular_time,desvio_idade_media_time,altura_media_titular_time,desvio_altura_media_time,idade_media_titular_adv,desvio_idade_media_adv,altura_media_titular_adv,desvio_altura_media_adv,estadio,publico
Botafogo,2016,1,15/05/2016,11:00,Domingo,05,São Paulo,Derrota,0,1,Mandante,Braulio Da Silva Machado,24.5,4.1,181.0,7.9,23.4,4.7,181.5,6.9,Estádio Raulino de Oliveira,5465
Botafogo,2016,2,22/05/2016,18:30,Domingo,05,Sport Recife,Empate,1,1,Visitante,Vinicius Furlan,24.9,4.4,181.3,8.3,28.6,5.2,178.3,6.8,Ilha do Retiro,5218
Botafogo,2016,3,25/05/2016,19:30,Quarta,05,Athletico,Vitória,2,1,Mandante,Dewson Fernando Freitas da Silva,26.6,5.0,181.1,6.6,25.1,3.4,180.8,6.1,Estádio Luso Brasileiro,4445
Botafogo,2016,4,29/05/2016,16:00,Domingo,05,Fluminense,Derrota,0,1,Visitante,Marcelo Aparecido Ribeiro de Souza,25.9,5.2,181.0,6.3,28.7,4.6,181.5,6.0,Estádio Raulino de Oliveira,4550
Botafogo,2016,5,01/06/2016,21:45,Quarta,06,Cruzeiro,Derrota,0,1,Mandante,Elmo Alves Resende Cunha,25.6,5.1,180.7,6.5,27.1,4.5,177.4,7.0,Estádio Luso Brasileiro,7057
Botafogo,2016,6,05/06/2016,11:00,Domingo,06,Santos,Derrota,0,3,Visitante,Sandro Meira Ricci,25.5,5.2,180.6,7.1,26.0,5.2,181.5,7.5,Estádio Urbano Caldeira,16530
Botafogo,2016,7,12/06/2016,11:00,Domingo,06,Vitória,Empate,1,1,Mandante,Ricardo Marques Ribeiro,26.2,4.8,180.5,5.9,26.9,3.7,178.7,7.1,Estádio Luso Brasileiro,2208
Botafogo,2016,8,15/06/2016,21:00,Quarta,06,América Mineiro,Vitória,3,1,Mandante,Rodrigo Batista Raposo,27.1,4.5,180.2,6.6,27.5,3.2,179.5,5.9,Estádio Luso Brasileiro,1255
Botafogo,2016,9,19/06/2016,16:00,Domingo,06,Corinthians,Derrota,1,3,Visitante,Rodolpho Toski Marques,26.6,4.8,179.7,6.8,26.2,2.2,179.8,7.3,Neo Química Arena,34747
Botafogo,2016,10,22/06/2016,21:00,Quarta,06,Figueirense,Empate,0,0,Mandante,Emerson De Almeida Ferreira,27.9,4.1,180.2,6.6,27.4,3.4,179.4,8.8,Estádio Luso Brasileiro,3012
Botafogo,2016,11,26/06/2016,16:00,Domingo,06,Internacional,Vitória,3,2,Visitante,Wilton Pereira Sampaio,27.1,4.8,180.5,6.7,24.1,3.1,180.5,6.9,Estádio Beira-Rio,21562
Botafogo,2016,12,30/06/2016,21:00,Quinta,06,Atlético Mineiro,Derrota,3,5,Visitante,Raphael Claus,27.2,4.8,180.7,6.7,28.1,5.2,181.3,8.6,Governador Magalhães Pinto,36129
Botafogo,2016,13,03/07/2016,16:00,Domingo,07,Santa Cruz,Vitória,2,1,Mandante,Braulio Da Silva Machado,28.2,3.9,179.7,7.0,29.1,5.6,181.4,6.5,Estádio Municipal Radialista Mario Helenio,5423
Botafogo,2016,14,09/07/2016,16:30,Sábado,07,Coritiba,Empate,0,0,Visitante,Luiz Flávio de Oliveira,26.8,4.0,179.6,6.8,29.3,4.6,179.1,5.7,Estádio Major Antônio Couto Pereira,10922
Botafogo,2016,15,16/07/2016,16:00,Sábado,07,Flamengo,Empate,3,3,Mandante,Flavio Rodrigues De Souza,27.5,3.8,180.8,5.3,28.6,4.6,181.0,6.0,Estádio Luso Brasileiro,11692
Botafogo,2016,16,24/07/2016,16:00,Domingo,07,Chapecoense,Derrota,1,2,Visitante,Anderson Daronco,28.9,4.6,182.0,5.9,28.8,4.3,180.3,6.1,Arena Condá,7012
Botafogo,2016,17,31/07/2016,18:30,Domingo,07,Palmeiras,Vitória,3,1,Mandante,Heber Roberto Lopes,28.0,4.3,181.4,6.7,28.6,6.0,181.6,6.7,Estádio Luso Brasileiro,8477
Botafogo,2016,18,04/08/2016,19:15,Quinta,08,Ponte Preta,Derrota,0,2,Visitante,Ricardo Marques Ribeiro,27.5,4.7,180.7,6.9,27.5,4.3,180.5,7.0,Moisés Lucarelli,5050
Botafogo,2016,20,14/08/2016,16:15,Domingo,08,São Paulo,Vitória,1,0,Visitante,Caio Max Augusto Vieira,28.1,4.3,181.4,6.7,25.7,2.9,179.5,7.2,MorumBIS,14399
Botafogo,2016,21,20/08/2016,21:00,Sábado,08,Sport Recife,Vitória,3,0,Mandante,Jean Pierre Goncalves Lima,26.2,4.2,179.7,6.8,27.7,5.3,176.9,7.7,Estádio Luso Brasileiro,4771
Botafogo,2016,22,29/08/2016,20:00,Segunda,08,Athletico,Derrota,0,1,Visitante,Leandro Pedro Vuaden,27.0,4.0,180.1,6.6,25.7,3.9,182.2,6.3,Arena da Baixada,11453
Botafogo,2016,19,04/09/2016,16:00,Domingo,09,Grêmio,Vitória,2,1,Mandante,Reway Wagner,26.8,4.5,179.7,7.2,27.5,4.2,183.5,5.0,Estádio Luso Brasileiro,5199
Botafogo,2016,23,07/09/2016,16:00,Quarta,09,Fluminense,Vitória,1,0,Mandante,Rodolpho Toski Marques,27.9,4.6,180.2,7.5,28.5,3.9,181.5,6.4,Estádio Luso Brasileiro,10156
Botafogo,2016,24,11/09/2016,16:00,Domingo,09,Cruzeiro,Vitória,2,0,Visitante,Rafael Traci,27.7,4.7,181.0,7.4,28.5,2.6,179.6,6.4,Governador Magalhães Pinto,26611
Botafogo,2016,25,14/09/2016,19:30,Quarta,09,Santos,Derrota,0,1,Mandante,Paulo Schleich Vollkopf,28.5,4.8,182.0,6.9,27.3,5.8,181.3,8.0,Estádio Luso Brasileiro,11883
Botafogo,2016,26,18/09/2016,18:30,Domingo,09,Vitória,Vitória,1,0,Visitante,Rodrigo D'Alonso Ferreira,28.6,4.9,183.4,5.7,26.1,3.3,178.3,7.3,Estádio Manoel Barradas,9900
Botafogo,2016,27,24/09/2016,21:00,Sábado,09,América Mineiro,Derrota,0,1,Visitante,Luiz Flávio de Oliveira,29.1,4.5,182.3,7.2,28.3,5.3,179.6,7.3,Arena Independência,1789
Botafogo,2016,28,01/10/2016,16:30,Sábado,10,Corinthians,Vitória,2,0,Mandante,Caio Max Augusto Vieira,26.5,4.0,180.4,7.0,25.3,3.0,179.7,6.2,Estádio Luso Brasileiro,8375
Botafogo,2016,29,09/10/2016,17:00,Domingo,10,Figueirense,Vitória,1,0,Visitante,Wilton Pereira Sampaio,26.7,3.9,180.4,7.0,27.5,3.8,179.4,7.7,Orlando Scarpelli,12325
Botafogo,2016,30,12/10/2016,21:45,Quarta,10,Internacional,Vitória,1,0,Mandante,Marielson Alves Silva,27.0,4.3,181.0,7.2,26.2,5.4,180.5,5.4,Estádio Luso Brasileiro,10176
Botafogo,2016,31,16/10/2016,16:00,Domingo,10,Atlético Mineiro,Vitória,3,2,Mandante,Reway Wagner,27.7,4.0,178.9,6.2,29.6,4.4,180.7,8.8,Estádio Luso Brasileiro,14595
Botafogo,2016,32,19/10/2016,20:45,Quarta,10,Santa Cruz,Vitória,1,0,Visitante,Braulio Da Silva Machado,28.0,4.0,180.1,7.5,28.4,4.1,180.7,6.7,Estádio do Arruda,3480
Botafogo,2016,33,29/10/2016,17:30,Sábado,10,Coritiba,Empate,0,0,Mandante,Luiz Flávio de Oliveira,27.1,3.9,179.0,7.4,27.7,3.8,178.8,6.4,Estádio Luso Brasileiro,15170
Botafogo,2016,34,05/11/2016,16:00,Sábado,11,Flamengo,Empate,0,0,Visitante,Jean Pierre Goncalves Lima,27.5,3.6,179.5,7.2,28.9,3.7,180.4,7.0,Estádio do Maracanã,44388
Botafogo,2016,35,16/11/2016,18:30,Quarta,11,Chapecoense,Derrota,0,2,Mandante,Dewson Fernando Freitas da Silva,26.9,3.6,179.6,7.2,28.0,4.7,181.6,6.1,Estádio Luso Brasileiro,10170
Botafogo,2016,36,20/11/2016,16:00,Domingo,11,Palmeiras,Derrota,0,1,Visitante,Elmo Alves Resende Cunha,28.5,4.2,180.7,7.6,27.9,6.7,179.5,7.8,Nubank Parque,39690
Botafogo,2016,37,26/11/2016,19:00,Sábado,11,Ponte Preta,Empate,1,1,Mandante,Wilton Pereira Sampaio,26.7,4.1,180.5,6.8,25.7,4.8,180.3,8.7,Estádio Luso Brasileiro,11118
Botafogo,2016,38,11/12/2016,16:00,Domingo,12,Grêmio,Vitória,1,0,Visitante,Jailson Macedo Freitas,28.4,3.7,180.3,6.3,23.2,2.0,178.3,7.0,Arena do Grêmio,14101
Botafogo,2017,1,14/05/2017,19:00,Domingo,05,Grêmio,Derrota,0,2,Visitante,Braulio Da Silva Machado,26.9,3.8,180.6,6.0,28.0,5.0,180.2,7.1,Arena do Grêmio,18551
Botafogo,2017,2,21/05/2017,18:00,Domingo,05,Ponte Preta,Vitória,2,0,Mandante,Rafael Traci,28.1,3.2,181.0,7.4,27.9,4.2,179.9,7.2,Estádio Nilton Santos,9160
Botafogo,2017,3,28/05/2017,19:00,Domingo,05,Bahia,Vitória,1,0,Mandante,Rodolpho Toski Marques,26.5,3.3,179.3,6.2,25.8,3.2,179.6,7.4,Estádio Nilton Santos,7886
Botafogo,2017,4,04/06/2017,11:00,Domingo,06,Flamengo,Empate,0,0,Visitante,Dewson Fernando Freitas da Silva,26.9,3.9,181.6,7.1,30.0,4.1,179.8,6.3,Estádio do Maracanã,10577
Botafogo,2017,5,07/06/2017,21:00,Quarta,06,Santos,Derrota,0,1,Visitante,Dewson Fernando Freitas da Silva,26.6,4.1,181.6,8.1,27.0,5.6,181.6,5.9,Estádio Urbano Caldeira,14486
Botafogo,2017,6,11/06/2017,11:00,Domingo,06,Coritiba,Empate,2,2,Mandante,Flavio Rodrigues De Souza,27.7,4.0,181.5,7.2,27.3,4.0,179.5,6.6,Estádio Nilton Santos,14866
Botafogo,2017,7,14/06/2017,19:30,Quarta,06,Vitória,Empate,2,2,Visitante,Anderson Daronco,27.0,4.0,181.8,7.1,27.7,3.7,179.2,7.9,Estádio Manoel Barradas,8877
Botafogo,2017,8,18/06/2017,16:00,Domingo,06,Chapecoense,Vitória,2,0,Visitante,Marcelo Aparecido Ribeiro de Souza,27.0,4.0,181.8,7.1,27.4,3.1,182.5,6.3,Arena Condá,11603
Botafogo,2017,9,21/06/2017,21:00,Quarta,06,Vasco da Gama,Vitória,3,1,Mandante,Leandro Pedro Vuaden,27.1,4.0,181.8,7.1,27.2,6.1,180.7,6.4,Estádio Nilton Santos,15048
Botafogo,2017,10,26/06/2017,20:00,Segunda,06,Avaí,Derrota,0,2,Mandante,Caio Max Augusto Vieira,28.0,3.9,179.7,6.5,27.3,4.0,178.8,7.6,Estádio Nilton Santos,22819
Botafogo,2017,11,02/07/2017,16:00,Domingo,07,Corinthians,Derrota,0,1,Visitante,Rodolpho Toski Marques,27.1,4.2,179.9,6.3,26.4,4.2,178.3,9.6,Neo Química Arena,40341
Botafogo,2017,12,09/07/2017,19:00,Domingo,07,Atlético Mineiro,Empate,1,1,Mandante,Wilton Pereira Sampaio,28.7,4.5,181.2,6.4,28.5,4.9,181.5,6.9,Estádio Nilton Santos,9630
Botafogo,2017,13,12/07/2017,21:00,Quarta,07,Fluminense,Vitória,1,0,Visitante,Reway Wagner,26.8,4.5,181.4,6.9,24.3,4.2,182.3,6.6,Estádio Giulite Coutinho,14851
Botafogo,2017,14,17/07/2017,20:00,Segunda,07,Sport Recife,Vitória,2,1,Mandante,Ricardo Marques Ribeiro,27.5,4.6,181.1,7.0,27.8,4.0,178.5,6.9,Estádio Nilton Santos,17313
Botafogo,2017,15,20/07/2017,21:00,Quinta,07,Athletico,Empate,0,0,Visitante,Anderson Daronco,27.3,4.7,182.5,6.2,27.6,4.6,181.4,6.5,Arena da Baixada,15134
Botafogo,2017,16,23/07/2017,19:00,Domingo,07,Atlético Goianiense,Empate,1,1,Visitante,Caio Max Augusto Vieira,28.2,5.5,181.1,4.1,26.6,2.2,180.1,5.8,Estádio Olímpico Pedro Ludovico,5462
Botafogo,2017,17,29/07/2017,16:00,Sábado,07,São Paulo,Derrota,3,4,Mandante,Andre Luiz de Freitas Castro,27.1,4.4,182.5,6.6,27.9,3.1,183.0,6.5,Estádio Nilton Santos,17139
Botafogo,2017,18,02/08/2017,21:45,Quarta,08,Palmeiras,Derrota,1,2,Mandante,Rafael Traci,27.9,4.3,182.7,6.5,26.8,4.0,180.2,5.7,Estádio Nilton Santos,7517
Botafogo,2017,19,06/08/2017,16:00,Domingo,08,Cruzeiro,Empate,0,0,Visitante,Claudio Francisco Lima E. Silva,27.7,4.6,181.2,5.7,26.6,5.5,178.7,7.0,Governador Magalhães Pinto,22691
Botafogo,2017,20,13/08/2017,19:00,Domingo,08,Grêmio,Vitória,1,0,Mandante,Reway Wagner,25.9,4.7,179.3,6.0,25.2,4.8,179.9,5.7,Estádio Nilton Santos,6352
Botafogo,2017,21,20/08/2017,16:00,Domingo,08,Ponte Preta,Derrota,1,2,Visitante,Dewson Fernando Freitas da Silva,27.6,4.8,180.2,6.9,28.3,5.1,179.9,7.5,Moisés Lucarelli,3208
Botafogo,2017,22,27/08/2017,16:00,Domingo,08,Bahia,Vitória,2,1,Visitante,Heber Roberto Lopes,27.6,3.4,181.3,7.2,25.8,3.4,180.2,7.3,Arena Fonte Nova,22585
Botafogo,2017,23,10/09/2017,19:00,Domingo,09,Flamengo,Vitória,2,0,Mandante,Ricardo Marques Ribeiro,25.8,4.3,179.7,6.7,27.5,3.7,180.4,6.9,Estádio Nilton Santos,6311
Botafogo,2017,24,16/09/2017,19:00,Sábado,09,Santos,Vitória,2,0,Mandante,Igor Junio Benevenuto,28.3,4.2,180.2,6.1,27.3,4.4,180.4,9.2,Estádio Nilton Santos,5780
Botafogo,2017,25,24/09/2017,16:00,Domingo,09,Coritiba,Vitória,3,2,Visitante,Braulio Da Silva Machado,27.4,4.1,182.1,6.8,28.0,2.3,178.9,4.9,Estádio Major Antônio Couto Pereira,8315
