time,temporada,rodada,data,horario,dia_semana,mes,adversario,resultado,gols_favor,gols_sofridos,condicao,arbitro,idade_media_titular_time,desvio_idade_media_time,altura_media_titular_time,desvio_altura_media_time,idade_media_titular_adv,desvio_idade_media_adv,altura_media_titular_adv,desvio_altura_media_adv,estadio
Corinthians,2015,1,10/05/2015,16:00,Domingo,05,Cruzeiro,Vitória,1,0,Visitante,Anderson Daronco,28.0,4.9,181.5,6.6,26.7,4.1,177.9,7.6,Governador Magalhães Pinto
Corinthians,2015,2,16/05/2015,21:00,Sábado,05,Chapecoense,Vitória,1,0,Mandante,Marcelo de Lima Henrique,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Neo Química Arena
Corinthians,2015,3,24/05/2015,16:00,Domingo,05,Fluminense,Empate,0,0,Visitante,Heber Roberto Lopes,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Estádio do Maracanã
Corinthians,2015,4,31/05/2015,16:00,Domingo,05,Palmeiras,Derrota,0,2,Mandante,Vinicius Goncalves Dias Araujo,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Neo Química Arena
Corinthians,2015,5,03/06/2015,22:00,Quarta,06,Grêmio,Derrota,1,3,Visitante,Wilton Pereira Sampaio,28.0,3.4,180.4,8.6,24.6,3.7,183.7,5.9,Arena do Grêmio
Corinthians,2015,6,06/06/2015,22:00,Sábado,06,Joinville,Vitória,1,0,Visitante,Dewson Fernando Freitas da Silva,28.0,3.4,180.4,8.6,25.0,3.6,181.3,4.4,Arena Joinville
Corinthians,2015,7,13/06/2015,16:30,Sábado,06,Internacional,Vitória,2,1,Mandante,Marcelo de Lima Henrique,28.1,3.4,180.5,8.6,28.1,5.2,182.8,7.3,Neo Química Arena
Corinthians,2015,8,20/06/2015,16:30,Sábado,06,Santos,Derrota,0,1,Visitante,Luiz Flávio de Oliveira,28.5,3.0,180.2,8.9,25.2,4.2,178.8,7.0,Estádio Urbano Caldeira
Corinthians,2015,9,27/06/2015,21:00,Sábado,06,Figueirense,Vitória,2,1,Mandante,Igor Junio Benevenuto,26.7,3.6,180.9,8.4,26.7,4.5,182.8,6.8,Neo Química Arena
Corinthians,2015,10,02/07/2015,19:30,Quinta,07,Ponte Preta,Vitória,2,0,Mandante,Thiago Duarte Peixoto,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Neo Química Arena
Corinthians,2015,11,05/07/2015,16:00,Domingo,07,Goiás,Empate,0,0,Visitante,Heber Roberto Lopes,27.2,3.4,179.4,9.4,25.3,4.0,179.6,5.4,Serra Dourada
Corinthians,2015,12,09/07/2015,19:30,Quinta,07,Athletico,Vitória,2,0,Mandante,Ricardo Marques Ribeiro,27.2,3.4,179.4,9.4,25.9,3.9,179.3,7.7,Neo Química Arena
Corinthians,2015,13,12/07/2015,16:00,Domingo,07,Flamengo,Vitória,3,0,Visitante,Leandro Pedro Vuaden,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Estádio do Maracanã
Corinthians,2015,14,18/07/2015,21:00,Sábado,07,Atlético Mineiro,Vitória,1,0,Mandante,Anderson Daronco,26.7,3.1,179.9,7.8,27.8,4.3,181.1,7.4,Neo Química Arena
Corinthians,2015,15,26/07/2015,16:00,Domingo,07,Coritiba,Empate,1,1,Visitante,Pablo Dos Santos Alves,27.8,4.0,179.0,9.0,26.4,3.6,178.8,5.6,Estádio Major Antônio Couto Pereira
Corinthians,2015,16,29/07/2015,22:00,Quarta,07,Vasco da Gama,Vitória,3,0,Mandante,Leandro Pedro Vuaden,27.3,3.4,178.7,8.5,27.4,5.2,181.1,5.4,Neo Química Arena
Corinthians,2015,17,09/08/2015,16:00,Domingo,08,São Paulo,Empate,1,1,Visitante,Leandro Pedro Vuaden,26.5,3.5,180.2,9.1,28.8,6.0,183.2,5.5,MorumBIS
Corinthians,2015,18,12/08/2015,22:00,Quarta,08,Sport Recife,Vitória,4,3,Mandante,Luiz Flávio de Oliveira,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Neo Química Arena
Corinthians,2015,19,16/08/2015,16:00,Domingo,08,Avaí,Vitória,2,1,Visitante,Anderson Daronco,26.5,3.5,179.5,9.0,27.5,4.4,178.1,7.1,Estádio da Ressacada
Corinthians,2015,20,23/08/2015,16:00,Domingo,08,Cruzeiro,Vitória,3,0,Mandante,Pericles Bassols Pegado Cortez,27.4,3.4,179.4,9.4,27.8,3.7,180.5,5.8,Neo Química Arena
Corinthians,2015,21,30/08/2015,16:00,Domingo,08,Chapecoense,Vitória,3,1,Visitante,Wilton Pereira Sampaio,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Arena Condá
Corinthians,2015,22,02/09/2015,22:00,Quarta,09,Fluminense,Vitória,2,0,Mandante,Sandro Meira Ricci,27.7,5.9,180.4,9.2,27.5,4.9,180.2,6.8,Neo Química Arena
Corinthians,2015,23,06/09/2015,16:00,Domingo,09,Palmeiras,Empate,3,3,Visitante,Raphael Claus,26.2,4.7,180.6,9.5,29.2,6.1,178.5,7.7,Nubank Parque
Corinthians,2015,24,09/09/2015,22:00,Quarta,09,Grêmio,Empate,1,1,Mandante,Andre Luiz de Freitas Castro,27.0,5.3,181.1,8.4,26.4,4.6,182.9,5.6,Neo Química Arena
Corinthians,2015,25,13/09/2015,11:00,Domingo,09,Joinville,Vitória,3,0,Mandante,Wilton Pereira Sampaio,28.6,2.1,180.6,9.1,24.8,2.8,179.8,5.5,Neo Química Arena
Corinthians,2015,26,16/09/2015,22:00,Quarta,09,Internacional,Derrota,1,2,Visitante,Jailson Macedo Freitas,27.9,3.6,179.7,9.5,25.6,4.3,182.1,6.9,Estádio Beira-Rio
Corinthians,2015,27,20/09/2015,11:00,Domingo,09,Santos,Vitória,2,0,Mandante,Flavio Rodrigues Guerra,27.6,3.8,180.3,9.6,26.5,5.8,181.0,7.8,Neo Química Arena
Corinthians,2015,28,27/09/2015,16:00,Domingo,09,Figueirense,Vitória,3,1,Visitante,Marcelo de Lima Henrique,27.6,3.8,180.3,9.6,25.3,3.8,181.2,5.4,Orlando Scarpelli
Corinthians,2015,29,04/10/2015,16:00,Domingo,10,Ponte Preta,Empate,2,2,Visitante,Flavio Rodrigues De Souza,27.9,3.8,181.1,8.9,28.3,4.3,177.1,6.9,Moisés Lucarelli
Corinthians,2015,30,15/10/2015,19:30,Quinta,10,Goiás,Vitória,3,0,Mandante,Reway Wagner,27.9,4.9,180.3,8.3,26.7,4.2,179.9,4.7,Neo Química Arena
Corinthians,2015,31,18/10/2015,15:00,Domingo,10,Athletico,Vitória,4,1,Visitante,Elmo Alves Resende Cunha,27.5,4.5,180.3,8.9,25.3,4.1,180.6,6.8,Arena da Baixada
Corinthians,2015,32,25/10/2015,16:00,Domingo,10,Flamengo,Vitória,1,0,Mandante,Wilton Pereira Sampaio,27.5,4.5,180.3,8.9,26.8,3.6,180.3,5.8,Neo Química Arena
Corinthians,2015,33,01/11/2015,16:00,Domingo,11,Atlético Mineiro,Vitória,3,0,Visitante,Heber Roberto Lopes,27.3,4.4,180.6,8.7,28.9,4.1,180.5,7.6,Arena Independência
Corinthians,2015,34,07/11/2015,18:30,Sábado,11,Coritiba,Vitória,2,1,Mandante,Dewson Fernando Freitas da Silva,27.5,4.5,180.3,8.9,28.4,4.1,177.8,6.7,Neo Química Arena
Corinthians,2015,35,19/11/2015,21:00,Quinta,11,Vasco da Gama,Empate,1,1,Visitante,Anderson Daronco,27.6,4.5,180.3,8.9,30.1,4.2,179.5,4.7,Estádio São Januário
Corinthians,2015,36,22/11/2015,16:00,Domingo,11,São Paulo,Vitória,6,1,Mandante,Pericles Bassols Pegado Cortez,28.5,3.8,182.0,7.2,26.7,3.5,181.2,5.1,Neo Química Arena
Corinthians,2015,37,29/11/2015,16:00,Domingo,11,Sport Recife,Derrota,0,2,Visitante,Ricardo Marques Ribeiro,28.9,3.2,179.1,7.4,27.6,4.1,180.0,7.8,Arena de Pernambuco
Corinthians,2015,38,06/12/2015,16:00,Domingo,12,Avaí,Empate,1,1,Mandante,Leandro Pedro Vuaden,27.5,3.4,179.9,8.7,25.2,4.0,178.6,8.1,Neo Química Arena
Corinthians,2016,1,15/05/2016,16:00,Domingo,05,Grêmio,Empate,0,0,Mandante,Wilton Pereira Sampaio,26.9,1.9,179.9,6.8,27.3,3.5,181.5,7.9,Neo Química Arena
Corinthians,2016,2,22/05/2016,16:00,Domingo,05,Vitória,Derrota,2,3,Visitante,Heber Roberto Lopes,27.1,1.6,179.6,7.0,26.5,3.7,179.0,7.2,Estádio Manoel Barradas
Corinthians,2016,3,26/05/2016,11:00,Quinta,05,Ponte Preta,Vitória,3,0,Mandante,Elmo Alves Resende Cunha,27.4,2.2,180.3,6.6,25.5,4.7,180.2,7.7,Neo Química Arena
Corinthians,2016,4,29/05/2016,11:00,Domingo,05,Sport Recife,Vitória,2,0,Visitante,Reway Wagner,27.4,2.2,180.3,6.6,28.9,5.8,178.2,8.0,Ilha do Retiro
Corinthians,2016,5,01/06/2016,21:00,Quarta,06,Santos,Vitória,1,0,Mandante,Leandro Pedro Vuaden,27.4,2.2,180.3,6.6,26.5,5.9,181.2,7.9,Neo Química Arena
Corinthians,2016,6,04/06/2016,20:30,Sábado,06,Coritiba,Vitória,2,1,Mandante,Anderson Daronco,26.5,3.0,180.5,6.6,28.4,5.4,176.7,6.9,Neo Química Arena
Corinthians,2016,7,12/06/2016,16:00,Domingo,06,Palmeiras,Derrota,0,1,Visitante,Raphael Claus,27.0,2.5,180.0,6.4,28.0,7.2,179.4,7.0,Nubank Parque
Corinthians,2016,8,16/06/2016,20:00,Quinta,06,Fluminense,Derrota,0,1,Visitante,Ricardo Marques Ribeiro,26.6,2.1,178.8,6.1,26.7,4.8,179.5,7.0,Estádio Giulite Coutinho
Corinthians,2016,9,19/06/2016,16:00,Domingo,06,Botafogo,Vitória,3,1,Mandante,Rodolpho Toski Marques,26.2,2.2,179.8,7.3,26.6,4.8,179.7,6.8,Neo Química Arena
Corinthians,2016,10,22/06/2016,21:45,Quarta,06,Atlético Mineiro,Derrota,1,2,Visitante,Wilton Pereira Sampaio,26.5,2.3,179.7,7.4,29.0,5.0,180.2,8.5,Arena Independência
Corinthians,2016,11,25/06/2016,21:00,Sábado,06,Santa Cruz,Vitória,2,1,Mandante,Wagner do Nascimento Magalhaes,25.8,2.4,180.4,7.1,28.7,4.1,181.1,6.9,Neo Química Arena
Corinthians,2016,12,29/06/2016,21:45,Quarta,06,América Mineiro,Vitória,2,0,Visitante,Reway Wagner,25.8,2.4,180.4,7.1,28.7,3.6,180.5,5.3,Arena Independência
Corinthians,2016,13,03/07/2016,16:00,Domingo,07,Flamengo,Vitória,4,0,Mandante,Heber Roberto Lopes,25.9,2.4,180.4,7.1,27.2,3.8,182.2,5.6,Neo Química Arena
Corinthians,2016,14,09/07/2016,16:30,Sábado,07,Chapecoense,Vitória,2,0,Visitante,Ricardo Marques Ribeiro,25.9,2.4,180.4,7.1,28.8,3.9,178.9,6.8,Arena Condá
Corinthians,2016,15,17/07/2016,16:00,Domingo,07,São Paulo,Empate,1,1,Mandante,Pericles Bassols Pegado Cortez,27.4,3.4,180.5,7.1,27.4,3.0,180.4,6.8,Neo Química Arena
Corinthians,2016,16,23/07/2016,16:00,Sábado,07,Figueirense,Empate,1,1,Mandante,Marielson Alves Silva,25.8,2.4,180.8,6.3,26.3,4.1,178.9,7.0,Neo Química Arena
Corinthians,2016,17,31/07/2016,16:00,Domingo,07,Internacional,Vitória,1,0,Visitante,Elmo Alves Resende Cunha,26.7,2.1,180.0,7.2,27.3,3.2,181.9,5.5,Estádio Beira-Rio
Corinthians,2016,18,03/08/2016,21:45,Quarta,08,Athletico,Derrota,0,2,Visitante,Anderson Daronco,26.8,2.0,179.5,7.2,25.2,3.2,180.2,6.6,Arena da Baixada
Corinthians,2016,19,08/08/2016,21:00,Segunda,08,Cruzeiro,Empate,1,1,Mandante,Dewson Fernando Freitas da Silva,26.7,2.1,180.0,7.2,27.8,3.4,179.8,6.8,Neo Química Arena
Corinthians,2016,20,14/08/2016,11:00,Domingo,08,Grêmio,Derrota,0,3,Visitante,Braulio Da Silva Machado,26.5,1.6,180.4,7.0,27.6,4.4,180.9,6.4,Arena do Grêmio
Corinthians,2016,21,22/08/2016,20:00,Segunda,08,Vitória,Vitória,2,1,Mandante,Bruno Arleu de Araujo,27.1,2.1,179.1,7.3,27.3,2.9,178.5,8.2,Neo Química Arena
Corinthians,2016,22,27/08/2016,16:00,Sábado,08,Ponte Preta,Derrota,0,2,Visitante,Luiz Flávio de Oliveira,27.7,2.7,179.6,7.4,29.1,3.9,179.9,8.3,Moisés Lucarelli
Corinthians,2016,23,08/09/2016,19:30,Quinta,09,Sport Recife,Vitória,3,0,Mandante,Joao Batista de Arruda,26.9,3.2,181.4,5.8,28.2,6.0,178.5,8.0,Neo Química Arena
Corinthians,2016,24,11/09/2016,16:00,Domingo,09,Santos,Derrota,1,2,Visitante,Raphael Claus,26.7,1.9,181.7,7.2,25.2,5.1,182.5,7.8,Estádio Urbano Caldeira
Corinthians,2016,25,14/09/2016,21:45,Quarta,09,Coritiba,Empate,1,1,Visitante,Grazianni Maciel Rocha,27.2,2.7,182.3,7.0,25.2,4.7,179.4,5.9,Estádio Major Antônio Couto Pereira
Corinthians,2016,26,17/09/2016,16:00,Sábado,09,Palmeiras,Derrota,0,2,Mandante,Heber Roberto Lopes,25.8,3.9,182.5,6.4,27.4,4.6,179.5,8.9,Neo Química Arena
Corinthians,2016,27,25/09/2016,16:00,Domingo,09,Fluminense,Derrota,0,1,Mandante,Anderson Daronco,25.6,2.5,179.1,5.8,26.9,4.6,178.7,7.8,Neo Química Arena
Corinthians,2016,28,01/10/2016,16:30,Sábado,10,Botafogo,Derrota,0,2,Visitante,Caio Max Augusto Vieira,25.3,3.0,179.7,6.2,26.5,4.0,180.4,7.0,Estádio Luso Brasileiro
Corinthians,2016,29,05/10/2016,21:00,Quarta,10,Atlético Mineiro,Empate,0,0,Mandante,Rodolpho Toski Marques,24.8,3.0,180.6,5.6,29.3,5.5,181.3,7.2,Neo Química Arena
Corinthians,2016,30,12/10/2016,21:45,Quarta,10,Santa Cruz,Vitória,4,2,Visitante,Grazianni Maciel Rocha,25.8,2.8,179.8,5.5,28.1,5.0,180.7,8.2,Estádio do Arruda
Corinthians,2016,31,16/10/2016,17:30,Domingo,10,América Mineiro,Vitória,2,0,Mandante,Dewson Fernando Freitas da Silva,26.7,2.6,179.2,6.2,28.7,4.1,180.2,5.9,Neo Química Arena
Corinthians,2016,32,23/10/2016,16:00,Domingo,10,Flamengo,Empate,2,2,Visitante,Anderson Daronco,27.6,1.7,178.6,6.3,29.6,4.5,180.4,7.0,Estádio do Maracanã
Corinthians,2016,33,29/10/2016,15:30,Sábado,10,Chapecoense,Empate,1,1,Mandante,Jean Pierre Goncalves Lima,26.5,2.3,179.6,6.0,28.2,4.8,179.3,7.9,Neo Química Arena
Corinthians,2016,34,05/11/2016,18:30,Sábado,11,São Paulo,Derrota,0,4,Visitante,Claudio Francisco Lima E. Silva,27.6,1.8,179.3,7.5,25.4,2.8,178.8,7.1,MorumBIS
Corinthians,2016,35,16/11/2016,20:45,Quarta,11,Figueirense,Empate,1,1,Visitante,Anderson Daronco,25.6,3.9,178.8,6.0,29.4,3.4,181.2,8.6,Orlando Scarpelli
Corinthians,2016,36,21/11/2016,19:00,Segunda,11,Internacional,Vitória,1,0,Mandante,Rodolpho Toski Marques,26.7,3.3,180.1,6.1,25.7,3.0,181.1,4.9,Neo Química Arena
Corinthians,2016,37,26/11/2016,20:00,Sábado,11,Athletico,Empate,0,0,Mandante,Leandro Pedro Vuaden,27.5,2.4,180.2,6.0,27.2,4.5,181.8,6.5,Neo Química Arena
Corinthians,2016,38,11/12/2016,16:00,Domingo,12,Cruzeiro,Derrota,2,3,Visitante,Reway Wagner,27.7,2.4,180.2,6.0,27.7,3.1,179.6,6.2,Governador Magalhães Pinto
Corinthians,2017,1,13/05/2017,19:00,Sábado,05,Chapecoense,Empate,1,1,Mandante,Elmo Alves Resende Cunha,26.5,4.0,179.3,8.8,26.3,3.5,181.9,6.9,Neo Química Arena
Corinthians,2017,2,21/05/2017,16:00,Domingo,05,Vitória,Vitória,1,0,Visitante,Pericles Bassols Pegado Cortez,26.2,4.3,179.3,8.8,27.8,4.4,182.1,6.8,Estádio Manoel Barradas
Corinthians,2017,3,28/05/2017,16:00,Domingo,05,Atlético Goianiense,Vitória,1,0,Visitante,Paulo Schleich Vollkopf,26.2,4.3,179.3,8.8,26.4,2.5,182.7,5.3,Serra Dourada
Corinthians,2017,4,03/06/2017,19:00,Sábado,06,Santos,Vitória,2,0,Mandante,Anderson Daronco,26.2,4.3,179.3,8.8,28.8,5.6,181.5,8.4,Neo Química Arena
Corinthians,2017,5,07/06/2017,21:45,Quarta,06,Vasco da Gama,Vitória,5,2,Visitante,Reway Wagner,26.0,4.4,178.7,9.2,26.1,5.5,180.2,6.6,Estádio São Januário
Corinthians,2017,6,11/06/2017,16:00,Domingo,06,São Paulo,Vitória,3,2,Mandante,Ricardo Marques Ribeiro,26.6,4.1,179.7,8.3,26.0,4.1,184.5,5.5,Neo Química Arena
