time,temporada,rodada,data,horario,dia_semana,mes,adversario,resultado,gols_favor,gols_sofridos,condicao,arbitro,idade_media_titular_time,desvio_idade_media_time,altura_media_titular_time,desvio_altura_media_time,idade_media_titular_adv,desvio_idade_media_adv,altura_media_titular_adv,desvio_altura_media_adv,estadio,publico
Grêmio,2015,1,10/05/2015,11:00,Domingo,05,Ponte Preta,Empate,3,3,Mandante,Heber Roberto Lopes,24.7,4.4,183.5,5.8,26.8,3.1,178.8,6.7,Arena do Grêmio,13164
Grêmio,2015,2,16/05/2015,18:30,Sábado,05,Coritiba,Derrota,0,2,Visitante,Ricardo Marques Ribeiro,25.3,4.0,182.9,5.9,26.7,3.1,177.7,6.1,Estádio Major Antônio Couto Pereira,11785
Grêmio,2015,3,23/05/2015,21:00,Sábado,05,Figueirense,Vitória,1,0,Mandante,Luiz Flávio de Oliveira,26.1,3.9,183.3,6.4,25.6,4.0,180.4,6.9,Arena do Grêmio,8336
Grêmio,2015,4,31/05/2015,16:00,Domingo,05,Goiás,Empate,1,1,Visitante,Anderson Daronco,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Serra Dourada,4511
Grêmio,2015,5,03/06/2015,22:00,Quarta,06,Corinthians,Vitória,3,1,Mandante,Wilton Pereira Sampaio,24.6,3.7,183.7,5.9,28.0,3.4,180.4,8.6,Arena do Grêmio,17971
Grêmio,2015,6,06/06/2015,22:00,Sábado,06,São Paulo,Derrota,0,2,Visitante,Pericles Bassols Pegado Cortez,24.7,3.7,183.2,6.0,28.8,5.7,183.4,4.8,MorumBIS,16917
Grêmio,2015,7,14/06/2015,16:00,Domingo,06,Athletico,Vitória,2,1,Mandante,Marcos Andre Gomes da Penha,25.8,4.2,183.3,6.4,25.1,4.3,180.9,6.2,Arena do Grêmio,17781
Grêmio,2015,8,20/06/2015,21:00,Sábado,06,Palmeiras,Vitória,1,0,Mandante,Raphael Claus,25.8,4.2,183.3,6.4,28.4,4.3,179.3,8.9,Arena do Grêmio,20814
Grêmio,2015,9,27/06/2015,16:00,Sábado,06,Avaí,Vitória,2,1,Visitante,Marcelo de Lima Henrique,24.9,4.5,182.3,6.7,26.5,5.0,180.5,8.0,Estádio da Ressacada,11221
Grêmio,2015,10,01/07/2015,22:00,Quarta,07,Cruzeiro,Vitória,1,0,Mandante,Marcelo Aparecido Ribeiro de Souza,26.4,4.1,183.1,6.2,27.5,3.7,179.4,6.1,Arena do Grêmio,22517
Grêmio,2015,11,05/07/2015,16:00,Domingo,07,Santos,Vitória,3,1,Visitante,Felipe Gomes Da Silva,26.7,4.3,182.9,6.2,24.5,5.2,180.3,7.6,Estádio Urbano Caldeira,4942
Grêmio,2015,12,08/07/2015,19:30,Quarta,07,Chapecoense,Derrota,0,1,Visitante,Flavio Rodrigues Guerra,27.4,3.9,182.5,5.8,29.1,3.3,180.8,6.6,Arena Condá,13916
Grêmio,2015,13,11/07/2015,18:30,Sábado,07,Vasco da Gama,Vitória,2,0,Mandante,Luiz Flávio de Oliveira,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Arena do Grêmio,34464
Grêmio,2015,14,18/07/2015,18:30,Sábado,07,Flamengo,Derrota,0,1,Visitante,Ricardo Marques Ribeiro,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Estádio do Maracanã,56927
Grêmio,2015,15,25/07/2015,19:30,Sábado,07,Sport Recife,Empate,1,1,Mandante,Pericles Bassols Pegado Cortez,24.3,4.0,182.5,6.5,27.9,3.8,182.8,7.2,Arena do Grêmio,33437
Grêmio,2015,16,01/08/2015,18:30,Sábado,08,Fluminense,Derrota,0,1,Visitante,Wilton Pereira Sampaio,25.3,4.4,183.3,5.6,26.8,5.2,179.3,7.1,Estádio do Maracanã,33288
Grêmio,2015,17,09/08/2015,18:30,Domingo,08,Internacional,Vitória,5,0,Mandante,Dewson Fernando Freitas da Silva,27.5,3.9,182.5,5.8,26.1,5.0,180.3,7.2,Arena do Grêmio,42432
Grêmio,2015,18,13/08/2015,21:00,Quinta,08,Atlético Mineiro,Vitória,2,0,Visitante,Dewson Fernando Freitas da Silva,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Arena Independência,49047
Grêmio,2015,19,16/08/2015,18:30,Domingo,08,Joinville,Vitória,2,1,Mandante,,27.1,3.9,183.5,6.0,25.4,5.5,180.5,4.8,Arena do Grêmio,31183
Grêmio,2015,20,23/08/2015,11:00,Domingo,08,Ponte Preta,Empate,0,0,Visitante,Emerson De Almeida Ferreira,27.2,3.7,182.4,6.9,26.8,3.5,177.9,6.9,Moisés Lucarelli,8612
Grêmio,2015,21,30/08/2015,11:00,Domingo,08,Coritiba,Empate,0,0,Mandante,Luiz Flávio de Oliveira,27.5,3.9,182.2,6.8,27.8,4.4,178.1,6.5,Arena do Grêmio,46000
Grêmio,2015,22,03/09/2015,21:00,Quinta,09,Figueirense,Vitória,2,0,Visitante,Raphael Claus,26.4,3.8,182.7,6.1,25.4,3.3,180.7,4.4,Orlando Scarpelli,10823
Grêmio,2015,23,06/09/2015,16:00,Domingo,09,Goiás,Vitória,2,1,Mandante,Sandro Meira Ricci,25.8,4.6,182.4,6.2,25.4,4.1,179.5,4.8,Arena do Grêmio,29184
Grêmio,2015,24,09/09/2015,22:00,Quarta,09,Corinthians,Empate,1,1,Visitante,Andre Luiz de Freitas Castro,26.4,4.6,182.9,5.6,27.0,5.3,181.1,8.4,Neo Química Arena,30126
Grêmio,2015,25,13/09/2015,16:00,Domingo,09,São Paulo,Derrota,1,2,Mandante,Sandro Meira Ricci,26.8,4.1,182.6,7.4,25.4,3.7,183.5,5.7,Arena do Grêmio,44227
Grêmio,2015,26,16/09/2015,21:00,Quarta,09,Athletico,Vitória,2,1,Visitante,Braulio Da Silva Machado,26.9,4.1,181.7,6.5,25.3,3.6,179.0,5.8,Arena da Baixada,13619
Grêmio,2015,27,19/09/2015,18:30,Sábado,09,Palmeiras,Derrota,2,3,Visitante,Wilton Pereira Sampaio,24.6,4.2,182.0,6.2,29.1,5.9,180.9,7.6,Nubank Parque,21257
Grêmio,2015,28,26/09/2015,21:00,Sábado,09,Avaí,Vitória,3,1,Mandante,Marcelo Aparecido Ribeiro de Souza,25.1,4.0,182.7,5.5,27.4,2.9,181.0,8.4,Arena do Grêmio,13251
Grêmio,2015,29,04/10/2015,16:00,Domingo,10,Cruzeiro,Empate,0,0,Visitante,Heber Roberto Lopes,26.8,4.3,182.8,6.0,27.9,3.7,182.8,5.3,Governador Magalhães Pinto,29294
Grêmio,2015,30,15/10/2015,21:00,Quinta,10,Santos,Vitória,1,0,Mandante,Marielson Alves Silva,27.0,4.0,183.5,5.9,25.6,5.1,178.6,7.1,Arena do Grêmio,10496
Grêmio,2015,31,18/10/2015,16:00,Domingo,10,Chapecoense,Derrota,2,3,Mandante,Luiz Flávio de Oliveira,27.4,3.7,184.2,6.4,28.2,3.1,181.0,8.7,Arena do Grêmio,19925
Grêmio,2015,32,25/10/2015,16:00,Domingo,10,Vasco da Gama,Empate,0,0,Visitante,Marcelo Aparecido Ribeiro de Souza,26.6,4.1,183.5,6.0,30.0,4.4,182.5,5.2,Estádio do Maracanã,20207
Grêmio,2015,33,01/11/2015,16:00,Domingo,11,Flamengo,Vitória,2,0,Mandante,Braulio Da Silva Machado,25.8,4.1,181.7,6.0,26.4,4.0,181.4,5.2,Arena do Grêmio,37793
Grêmio,2015,34,08/11/2015,18:30,Domingo,11,Sport Recife,Derrota,0,1,Visitante,Heber Roberto Lopes,25.7,4.3,182.4,6.4,25.7,2.8,180.1,8.1,Ilha do Retiro,11091
Grêmio,2015,35,19/11/2015,18:30,Quinta,11,Fluminense,Vitória,1,0,Mandante,Reway Wagner,25.4,4.2,180.5,7.2,28.3,4.4,178.0,7.4,Arena do Grêmio,15909
Grêmio,2015,36,22/11/2015,16:00,Domingo,11,Internacional,Derrota,0,1,Visitante,Ricardo Marques Ribeiro,25.8,4.2,181.1,7.8,26.3,4.6,180.7,6.0,Estádio Beira-Rio,30692
Grêmio,2015,37,29/11/2015,16:00,Domingo,11,Atlético Mineiro,Vitória,2,1,Mandante,Pericles Bassols Pegado Cortez,25.4,4.4,181.6,7.4,28.3,4.4,180.1,7.8,Arena do Grêmio,36862
