time,temporada,rodada,data,horario,dia_semana,mes,adversario,resultado,gols_favor,gols_sofridos,condicao,arbitro,idade_media_titular_time,desvio_idade_media_time,altura_media_titular_time,desvio_altura_media_time,idade_media_titular_adv,desvio_idade_media_adv,altura_media_titular_adv,desvio_altura_media_adv,estadio,publico
Internacional,2015,1,10/05/2015,16:00,Domingo,05,Athletico,Derrota,0,3,Visitante,Luiz Flávio de Oliveira,24.9,4.0,181.7,7.5,25.4,4.0,176.9,7.5,Arena da Baixada,10499
Internacional,2015,2,17/05/2015,18:30,Domingo,05,Avaí,Vitória,1,0,Mandante,Igor Junio Benevenuto,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Estádio Beira-Rio,13009
Internacional,2015,3,23/05/2015,18:30,Sábado,05,Vasco da Gama,Empate,1,1,Visitante,Dewson Fernando Freitas da Silva,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Estádio São Januário,5143
Internacional,2015,4,31/05/2015,16:00,Domingo,05,São Paulo,Empate,0,0,Mandante,Leandro Pedro Vuaden,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Estádio Beira-Rio,25213
Internacional,2015,5,04/06/2015,21:00,Quinta,06,Palmeiras,Empate,1,1,Visitante,Rodolpho Toski Marques,27.5,4.7,181.4,5.6,28.4,5.8,178.6,8.0,Nubank Parque,36199
Internacional,2015,6,07/06/2015,11:00,Domingo,06,Coritiba,Vitória,2,0,Mandante,Andre Luiz de Freitas Castro,24.4,4.1,181.1,6.9,25.1,2.3,178.9,5.3,Estádio Beira-Rio,35766
Internacional,2015,7,13/06/2015,16:30,Sábado,06,Corinthians,Derrota,1,2,Visitante,Marcelo de Lima Henrique,28.1,5.2,182.8,7.3,28.1,3.4,180.5,8.6,Neo Química Arena,27270
Internacional,2015,8,18/06/2015,21:00,Quinta,06,Figueirense,Empate,0,0,Visitante,Wagner do Nascimento Magalhaes,26.8,5.0,181.2,8.0,25.2,3.7,180.5,5.8,Orlando Scarpelli,6244
Internacional,2015,9,28/06/2015,18:30,Domingo,06,Santos,Vitória,1,0,Mandante,Dewson Fernando Freitas da Silva,27.2,4.7,180.1,7.8,24.6,4.7,179.5,6.8,Estádio Beira-Rio,22495
Internacional,2015,10,01/07/2015,19:30,Quarta,07,Sport Recife,Derrota,0,3,Visitante,Pericles Bassols Pegado Cortez,26.6,4.1,180.3,7.8,26.5,3.6,178.9,8.6,Ilha do Retiro,23343
Internacional,2015,11,05/07/2015,18:30,Domingo,07,Atlético Mineiro,Derrota,1,3,Mandante,Raphael Claus,27.1,4.7,180.8,7.3,27.8,3.5,181.2,6.0,Estádio Beira-Rio,16812
Internacional,2015,12,08/07/2015,22:00,Quarta,07,Flamengo,Derrota,1,2,Mandante,Wilton Pereira Sampaio,24.9,4.8,179.7,7.4,27.1,4.5,181.5,6.5,Estádio Beira-Rio,10931
Internacional,2015,13,12/07/2015,16:00,Domingo,07,Joinville,Vitória,2,0,Visitante,Francisco Carlos Do Nascimento,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Arena Joinville,10324
Internacional,2015,14,18/07/2015,18:30,Sábado,07,Goiás,Vitória,2,1,Mandante,Marcelo de Lima Henrique,28.2,4.4,181.4,6.7,25.3,4.1,180.5,4.4,Estádio Beira-Rio,16782
