time,temporada,rodada,data,horario,dia_semana,mes,adversario,resultado,gols_favor,gols_sofridos,condicao,arbitro,idade_media_titular_time,desvio_idade_media_time,altura_media_titular_time,desvio_altura_media_time,idade_media_titular_adv,desvio_idade_media_adv,altura_media_titular_adv,desvio_altura_media_adv,estadio,publico
Atlético Mineiro,2016,1,14/05/2016,18:30,Sábado,5,Santos,Vitória,1,0,Mandante,Jailson Macedo Freitas,24.6,3.5,180.5,6.9,25.8,5.3,180.8,8.1,Arena Independência,5403
Atlético Mineiro,2016,2,22/05/2016,11:00,Domingo,5,Athletico,Empate,1,1,Visitante,Flavio Rodrigues De Souza,25.7,4.1,179.8,7.8,25.1,3.4,180.8,6.1,Arena da Baixada,11804
Atlético Mineiro,2016,3,26/05/2016,21:00,Quinta,5,Grêmio,Derrota,0,3,Mandante,Raphael Claus,27.4,4.2,181.0,6.8,28.2,3.7,182.1,5.9,Arena Independência,15742
Atlético Mineiro,2016,4,29/05/2016,16:00,Domingo,5,Vitória,Empate,1,1,Visitante,Rodolpho Toski Marques,27.0,4.1,181.2,6.8,27.1,3.5,180.0,6.6,Arena Fonte Nova,12791
Atlético Mineiro,2016,5,01/06/2016,21:45,Quarta,6,Fluminense,Empate,1,1,Mandante,Luiz Flávio de Oliveira,27.2,4.4,180.2,6.8,27.4,5.0,181.5,5.8,Arena Independência,8144
Atlético Mineiro,2016,6,05/06/2016,16:00,Domingo,6,Sport Recife,Empate,4,4,Visitante,Rodrigo Nunes De Sa,27.2,4.4,180.2,6.8,28.9,5.8,178.2,8.0,Ilha do Retiro,14170
Atlético Mineiro,2016,7,12/06/2016,16:00,Domingo,6,Cruzeiro,Derrota,2,3,Mandante,Marcelo Aparecido Ribeiro de Souza,29.1,5.0,180.5,7.0,26.6,4.6,177.7,6.7,Arena Independência,19484
Atlético Mineiro,2016,8,16/06/2016,19:30,Quinta,6,Internacional,Derrota,0,2,Visitante,Pericles Bassols Pegado Cortez,28.2,5.1,180.2,7.2,25.7,4.3,180.5,5.1,Estádio Beira-Rio,21881
Atlético Mineiro,2016,9,19/06/2016,11:00,Domingo,6,Ponte Preta,Vitória,3,0,Mandante,Sandro Meira Ricci,29.1,5.0,180.5,8.5,28.2,4.5,178.5,7.9,Arena Independência,16042
Atlético Mineiro,2016,10,22/06/2016,21:45,Quarta,6,Corinthians,Vitória,2,1,Mandante,Wilton Pereira Sampaio,29.0,5.0,180.2,8.5,26.5,2.3,179.7,7.4,Arena Independência,34426
Atlético Mineiro,2016,11,26/06/2016,11:00,Domingo,6,América Mineiro,Vitória,1,0,Visitante,Anderson Daronco,29.1,5.0,180.5,8.5,28.0,3.5,180.3,5.2,Arena Independência,9516
Atlético Mineiro,2016,12,30/06/2016,21:00,Quinta,6,Botafogo,Vitória,5,3,Mandante,Raphael Claus,28.1,5.2,181.3,8.6,27.2,4.8,180.7,6.7,Governador Magalhães Pinto,36129
Atlético Mineiro,2016,13,03/07/2016,19:00,Domingo,7,Figueirense,Empate,1,1,Visitante,Rafael Traci,27.9,5.2,181.5,8.5,26.6,3.4,177.6,7.0,Orlando Scarpelli,5226
Atlético Mineiro,2016,14,10/07/2016,11:00,Domingo,7,Flamengo,Derrota,0,2,Visitante,Marielson Alves Silva,27.7,4.9,180.3,8.1,26.8,4.1,181.1,6.6,Arena BRB Mané Garrincha,23390
Atlético Mineiro,2016,15,18/07/2016,20:00,Segunda,7,Coritiba,Vitória,2,1,Mandante,Leandro Pedro Vuaden,28.7,5.1,182.1,7.5,30.2,4.4,178.4,6.6,Arena Independência,20891
Atlético Mineiro,2016,16,24/07/2016,11:00,Domingo,7,Palmeiras,Vitória,1,0,Visitante,Wagner do Nascimento Magalhaes,30.7,3.8,182.3,7.3,28.2,6.2,178.7,7.3,Nubank Parque,39400
Atlético Mineiro,2016,17,30/07/2016,21:00,Sábado,7,Santa Cruz,Vitória,3,0,Mandante,Dewson Fernando Freitas da Silva,31.3,2.9,182.7,7.5,29.2,5.0,181.7,6.5,Arena Independência,16804
Atlético Mineiro,2016,18,04/08/2016,19:30,Quinta,8,São Paulo,Vitória,2,1,Visitante,Leandro Pedro Vuaden,30.7,2.9,183.4,7.1,28.4,3.4,180.2,6.5,MorumBIS,15717
Atlético Mineiro,2016,19,08/08/2016,20:00,Segunda,8,Chapecoense,Vitória,3,1,Mandante,Pericles Bassols Pegado Cortez,31.3,2.9,182.7,7.5,28.5,4.6,179.8,5.9,Arena Independência,17484
