time,temporada,rodada,data,horario,dia_semana,mes,adversario,resultado,gols_favor,gols_sofridos,condicao,arbitro,idade_media_titular_time,desvio_idade_media_time,altura_media_titular_time,desvio_altura_media_time,idade_media_titular_adv,desvio_idade_media_adv,altura_media_titular_adv,desvio_altura_media_adv,estadio,publico
Santos,2015,1,10/05/2015,18:30,Domingo,05,Avaí,Empate,1,1,Visitante,Dewson Fernando Freitas da Silva,28.5,3.9,179.4,6.1,27.0,4.4,182.2,6.5,Estádio da Ressacada,7677
Santos,2015,2,17/05/2015,16:00,Domingo,05,Cruzeiro,Vitória,1,0,Mandante,Pericles Bassols Pegado Cortez,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Estádio Urbano Caldeira,7246
Santos,2015,3,24/05/2015,16:00,Domingo,05,Chapecoense,Derrota,0,1,Visitante,Jailson Macedo Freitas,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Arena Condá,6374
Santos,2015,4,31/05/2015,11:00,Domingo,05,Sport Recife,Empate,2,2,Mandante,Marcos Andre Gomes da Penha,27.3,4.9,178.7,7.1,25.9,5.1,178.3,8.3,Estádio Urbano Caldeira,13553
Santos,2015,5,03/06/2015,21:00,Quarta,06,São Paulo,Derrota,2,3,Visitante,Thiago Duarte Peixoto,26.7,4.7,178.9,7.0,28.0,5.4,182.8,5.1,MorumBIS,13847
Santos,2015,6,06/06/2015,18:30,Sábado,06,Ponte Preta,Empate,2,2,Mandante,Vinicius Goncalves Dias Araujo,26.0,4.9,178.8,7.1,27.0,3.2,178.7,6.7,Estádio Urbano Caldeira,6447
Santos,2015,7,10/06/2015,19:30,Quarta,06,Atlético Mineiro,Empate,2,2,Visitante,Wilton Pereira Sampaio,25.5,5.0,179.5,8.2,27.0,4.6,181.4,7.0,Arena Independência,10536
Santos,2015,8,20/06/2015,16:30,Sábado,06,Corinthians,Vitória,1,0,Mandante,Luiz Flávio de Oliveira,25.2,4.2,178.8,7.0,28.5,3.0,180.2,8.9,Estádio Urbano Caldeira,7674
Santos,2015,9,28/06/2015,18:30,Domingo,06,Internacional,Derrota,0,1,Visitante,Dewson Fernando Freitas da Silva,24.6,4.7,179.5,6.8,27.2,4.7,180.1,7.8,Estádio Beira-Rio,22495
Santos,2015,10,02/07/2015,21:00,Quinta,07,Fluminense,Derrota,1,2,Visitante,Ricardo Marques Ribeiro,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Estádio do Maracanã,11437
Santos,2015,11,05/07/2015,16:00,Domingo,07,Grêmio,Derrota,1,3,Mandante,Felipe Gomes Da Silva,24.5,5.2,180.3,7.6,26.7,4.3,182.9,6.2,Estádio Urbano Caldeira,4942
Santos,2015,12,08/07/2015,19:30,Quarta,07,Goiás,Derrota,1,4,Visitante,Anderson Daronco,25.3,5.0,179.7,7.5,25.2,4.2,179.4,5.8,Serra Dourada,1829
Santos,2015,13,11/07/2015,18:30,Sábado,07,Figueirense,Vitória,3,0,Mandante,Andre Luiz de Freitas Castro,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Estádio Urbano Caldeira,8393
Santos,2015,14,19/07/2015,16:00,Domingo,07,Palmeiras,Derrota,0,1,Visitante,Wagner do Nascimento Magalhaes,26.6,5.7,180.1,6.5,27.9,3.9,180.0,9.4,Nubank Parque,38220
Santos,2015,15,26/07/2015,11:00,Domingo,07,Joinville,Vitória,2,0,Mandante,Ricardo Marques Ribeiro,25.8,4.8,180.6,6.9,26.4,3.7,179.8,5.0,Estádio Urbano Caldeira,12974
Santos,2015,16,02/08/2015,16:00,Domingo,08,Flamengo,Empate,2,2,Visitante,Anderson Daronco,26.3,5.6,181.5,7.7,27.7,4.5,179.4,6.4,Estádio do Maracanã,51749
Santos,2015,17,08/08/2015,21:00,Sábado,08,Coritiba,Vitória,3,0,Mandante,Igor Junio Benevenuto,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Estádio Urbano Caldeira,12657
