time,temporada,rodada,data,horario,dia_semana,mes,adversario,resultado,gols_favor,gols_sofridos,condicao,arbitro,idade_media_titular_time,desvio_idade_media_time,altura_media_titular_time,desvio_altura_media_time,idade_media_titular_adv,desvio_idade_media_adv,altura_media_titular_adv,desvio_altura_media_adv,estadio,publico
São Paulo,2015,1,10/05/2015,16:00,Domingo,05,Flamengo,Vitória,2,1,Mandante,Marcelo de Lima Henrique,26.5,6.6,182.8,4.7,26.5,2.9,178.5,5.5,MorumBIS,13656
São Paulo,2015,2,17/05/2015,18:30,Domingo,05,Ponte Preta,Derrota,0,1,Visitante,Raphael Claus,26.7,5.6,182.5,4.8,26.4,2.9,178.6,6.6,Moisés Lucarelli,100
São Paulo,2015,3,23/05/2015,18:30,Sábado,05,Joinville,Vitória,3,0,Mandante,Reway Wagner,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,MorumBIS,17713
São Paulo,2015,4,31/05/2015,16:00,Domingo,05,Internacional,Empate,0,0,Visitante,Leandro Pedro Vuaden,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Estádio Beira-Rio,25213
São Paulo,2015,5,03/06/2015,21:00,Quarta,06,Santos,Vitória,3,2,Mandante,Thiago Duarte Peixoto,28.0,5.4,182.8,5.1,26.7,4.7,178.9,7.0,MorumBIS,13847
São Paulo,2015,6,06/06/2015,22:00,Sábado,06,Grêmio,Vitória,2,0,Mandante,Pericles Bassols Pegado Cortez,28.8,5.7,183.4,4.8,24.7,3.7,183.2,6.0,MorumBIS,16917
São Paulo,2015,7,13/06/2015,16:30,Sábado,06,Chapecoense,Vitória,1,0,Visitante,Wilton Pereira Sampaio,28.6,5.7,182.8,5.2,28.3,2.5,179.9,7.7,Arena Condá,8712
São Paulo,2015,8,21/06/2015,16:00,Domingo,06,Avaí,Empate,1,1,Mandante,Bruno Arleu de Araujo,26.3,2.9,183.4,5.7,27.0,3.6,180.5,7.6,MorumBIS,21288
São Paulo,2015,9,28/06/2015,16:00,Domingo,06,Palmeiras,Derrota,0,4,Visitante,Anderson Daronco,28.9,5.6,183.7,4.6,27.5,4.0,179.9,9.4,Nubank Parque,28333
São Paulo,2015,10,01/07/2015,22:00,Quarta,07,Athletico,Derrota,1,2,Visitante,Elmo Alves Resende Cunha,28.0,5.7,181.6,5.2,25.6,3.9,179.0,7.7,Arena da Baixada,22016
São Paulo,2015,11,05/07/2015,16:00,Domingo,07,Fluminense,Empate,0,0,Mandante,Leandro Pedro Vuaden,28.2,6.0,182.4,3.9,27.8,4.6,180.4,7.3,MorumBIS,16469
São Paulo,2015,12,08/07/2015,22:00,Quarta,07,Vasco da Gama,Vitória,4,0,Visitante,Leandro Pedro Vuaden,26.5,6.0,181.0,4.1,29.1,4.5,179.3,3.9,Estádio São Januário,15812
São Paulo,2015,13,12/07/2015,11:00,Domingo,07,Coritiba,Vitória,3,1,Mandante,Alisson Sidnei Furtado,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,MorumBIS,58482
São Paulo,2015,14,19/07/2015,16:00,Domingo,07,Sport Recife,Derrota,0,2,Visitante,Andre Luiz de Freitas Castro,26.8,6.0,181.8,4.3,27.3,4.1,180.0,7.8,Ilha do Retiro,41994
São Paulo,2015,15,26/07/2015,16:00,Domingo,07,Cruzeiro,Vitória,1,0,Mandante,Marcelo de Lima Henrique,25.7,6.4,180.1,4.9,28.5,4.5,178.6,6.4,MorumBIS,33905
