time,temporada,rodada,data,horario,dia_semana,mes,adversario,resultado,gols_favor,gols_sofridos,condicao,arbitro,idade_media_titular_time,desvio_idade_media_time,altura_media_titular_time,desvio_altura_media_time,idade_media_titular_adv,desvio_idade_media_adv,altura_media_titular_adv,desvio_altura_media_adv,estadio
Palmeiras,2015,1,09/05/2015,18:30,Sábado,05,Atlético Mineiro,Empate,2,2,Mandante,Felipe Gomes Da Silva,28.2,6.3,178.6,8.8,27.8,4.0,182.9,8.7,Nubank Parque
Palmeiras,2015,2,17/05/2015,18:30,Domingo,05,Joinville,Empate,0,0,Visitante,Wilton Pereira Sampaio,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Arena Joinville
Palmeiras,2015,3,24/05/2015,11:00,Domingo,05,Goiás,Derrota,0,1,Mandante,Marcelo de Lima Henrique,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Nubank Parque
Palmeiras,2015,4,31/05/2015,16:00,Domingo,05,Corinthians,Vitória,2,0,Visitante,Vinicius Goncalves Dias Araujo,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Neo Química Arena
Palmeiras,2015,5,04/06/2015,21:00,Quinta,06,Internacional,Empate,1,1,Mandante,Rodolpho Toski Marques,28.4,5.8,178.6,8.0,27.5,4.7,181.4,5.6,Nubank Parque
Palmeiras,2015,6,07/06/2015,19:30,Domingo,06,Figueirense,Derrota,1,2,Visitante,Leandro Pedro Vuaden,28.7,5.8,178.8,7.9,26.7,4.4,181.4,7.3,Orlando Scarpelli
Palmeiras,2015,7,14/06/2015,16:00,Domingo,06,Fluminense,Vitória,2,1,Mandante,Dewson Fernando Freitas da Silva,29.4,5.5,179.4,8.4,28.5,5.5,180.3,6.3,Nubank Parque
Palmeiras,2015,8,20/06/2015,21:00,Sábado,06,Grêmio,Derrota,0,1,Visitante,Raphael Claus,28.4,4.3,179.3,8.9,25.8,4.2,183.3,6.4,Arena do Grêmio
Palmeiras,2015,9,28/06/2015,16:00,Domingo,06,São Paulo,Vitória,4,0,Mandante,Anderson Daronco,27.5,4.0,179.9,9.4,28.9,5.6,183.7,4.6,Nubank Parque
Palmeiras,2015,10,01/07/2015,21:00,Quarta,07,Chapecoense,Vitória,2,0,Mandante,Pablo Dos Santos Alves,27.5,4.0,179.9,9.4,29.1,2.9,180.8,7.4,Nubank Parque
Palmeiras,2015,11,05/07/2015,18:30,Domingo,07,Ponte Preta,Vitória,2,0,Visitante,Vinicius Goncalves Dias Araujo,27.5,4.0,179.9,9.4,25.8,2.4,178.3,5.5,Moisés Lucarelli
Palmeiras,2015,12,08/07/2015,21:00,Quarta,07,Avaí,Vitória,3,0,Mandante,Igor Junio Benevenuto,28.7,5.6,180.5,8.9,26.3,5.2,178.4,7.4,Nubank Parque
Palmeiras,2015,13,12/07/2015,18:30,Domingo,07,Sport Recife,Empate,2,2,Visitante,Emerson De Almeida Ferreira,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Ilha do Retiro
Palmeiras,2015,14,19/07/2015,16:00,Domingo,07,Santos,Vitória,1,0,Mandante,Wagner do Nascimento Magalhaes,27.9,3.9,180.0,9.4,26.6,5.7,180.1,6.5,Nubank Parque
Palmeiras,2015,15,26/07/2015,18:30,Domingo,07,Vasco da Gama,Vitória,4,1,Visitante,Anderson Daronco,27.7,3.9,179.8,9.3,30.3,4.6,180.7,5.8,Estádio São Januário
Palmeiras,2015,16,02/08/2015,11:00,Domingo,08,Athletico,Derrota,0,1,Mandante,Ricardo Marques Ribeiro,28.0,3.9,180.0,9.4,23.5,4.0,181.9,7.1,Nubank Parque
Palmeiras,2015,17,09/08/2015,16:00,Domingo,08,Cruzeiro,Derrota,1,2,Visitante,Wilton Pereira Sampaio,28.5,3.6,181.0,9.0,27.7,3.7,179.6,6.2,Governador Magalhães Pinto
