time,temporada,rodada,data,horario,dia_semana,mes,adversario,resultado,gols_favor,gols_sofridos,condicao,arbitro,idade_media_titular_time,desvio_idade_media_time,altura_media_titular_time,desvio_altura_media_time,idade_media_titular_adv,desvio_idade_media_adv,altura_media_titular_adv,desvio_altura_media_adv,estadio,publico
Vasco da Gama,2015,1,10/05/2015,18:30,Domingo,05,Goiás,Empate,0,0,Mandante,Braulio Da Silva Machado,28.7,4.9,180.8,5.1,25.1,3.3,181.2,3.5,Estádio São Januário,7424
Vasco da Gama,2015,2,17/05/2015,11:00,Domingo,05,Figueirense,Empate,0,0,Visitante,Thiago Duarte Peixoto,28.7,4.9,180.8,5.1,25.8,4.0,180.5,6.9,Orlando Scarpelli,11004
Vasco da Gama,2015,3,23/05/2015,18:30,Sábado,05,Internacional,Empate,1,1,Mandante,Dewson Fernando Freitas da Silva,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Estádio São Januário,5143
Vasco da Gama,2015,4,31/05/2015,16:00,Domingo,05,Atlético Mineiro,Derrota,0,3,Visitante,Alisson Sidnei Furtado,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Arena Independência,17958
Vasco da Gama,2015,5,03/06/2015,19:30,Quarta,06,Ponte Preta,Derrota,0,3,Mandante,Heber Roberto Lopes,28.1,5.3,180.5,6.3,27.0,3.2,178.7,6.7,Estádio São Januário,2449
Vasco da Gama,2015,6,06/06/2015,22:00,Sábado,06,Athletico,Derrota,0,2,Visitante,Marcelo Aparecido Ribeiro de Souza,26.7,4.7,181.3,4.6,25.1,3.9,179.3,7.7,Arena da Baixada,15177
Vasco da Gama,2015,7,13/06/2015,21:00,Sábado,06,Cruzeiro,Derrota,1,3,Mandante,Leandro Pedro Vuaden,27.8,5.4,179.2,5.1,26.6,4.4,178.5,6.7,Estádio São Januário,5505
Vasco da Gama,2015,8,20/06/2015,16:30,Sábado,06,Sport Recife,Derrota,1,2,Visitante,Anderson Daronco,26.8,5.0,180.8,4.1,26.7,4.6,180.6,7.6,Ilha do Retiro,17206
Vasco da Gama,2015,9,28/06/2015,18:30,Domingo,06,Flamengo,Vitória,1,0,Mandante,Heber Roberto Lopes,27.8,5.1,180.1,4.3,27.2,4.4,178.9,7.6,Estádio São Januário,14010
Vasco da Gama,2015,10,01/07/2015,19:30,Quarta,07,Avaí,Vitória,1,0,Mandante,Marcos Andre Gomes da Penha,27.6,5.1,180.4,4.2,25.5,4.1,179.5,7.7,Estádio São Januário,7333
Vasco da Gama,2015,11,04/07/2015,21:00,Sábado,07,Chapecoense,Derrota,0,1,Visitante,Ricardo Marques Ribeiro,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Arena Condá,4349
Vasco da Gama,2015,12,08/07/2015,22:00,Quarta,07,São Paulo,Derrota,0,4,Mandante,Leandro Pedro Vuaden,29.1,4.5,179.3,3.9,26.5,6.0,181.0,4.1,Estádio São Januário,15812
Vasco da Gama,2015,13,11/07/2015,18:30,Sábado,07,Grêmio,Derrota,0,2,Visitante,Luiz Flávio de Oliveira,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Arena do Grêmio,34464
Vasco da Gama,2015,14,19/07/2015,16:00,Domingo,07,Fluminense,Vitória,2,1,Visitante,Luiz Flávio de Oliveira,27.8,4.5,182.7,5.1,26.8,4.6,180.8,6.9,Estádio do Maracanã,37687
Vasco da Gama,2015,15,26/07/2015,18:30,Domingo,07,Palmeiras,Derrota,1,4,Mandante,Anderson Daronco,30.3,4.6,180.7,5.8,27.7,3.9,179.8,9.3,Estádio São Januário,15101
Vasco da Gama,2015,16,29/07/2015,22:00,Quarta,07,Corinthians,Derrota,0,3,Visitante,Leandro Pedro Vuaden,27.4,5.2,181.1,5.4,27.3,3.4,178.7,8.5,Neo Química Arena,30340
Vasco da Gama,2015,17,09/08/2015,11:00,Domingo,08,Joinville,Empate,0,0,Mandante,Luiz Flávio de Oliveira,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Estádio São Januário,48751
Vasco da Gama,2015,18,12/08/2015,21:00,Quarta,08,Santos,Derrota,0,1,Visitante,Emerson Luiz Sobral,29.1,5.1,181.4,5.0,26.2,5.9,181.1,7.7,Estádio Urbano Caldeira,12038
Vasco da Gama,2015,19,15/08/2015,18:30,Sábado,08,Coritiba,Derrota,0,1,Mandante,Raphael Claus,28.4,4.6,180.8,5.4,28.4,4.7,178.8,5.9,Estádio São Januário,10657
Vasco da Gama,2015,20,22/08/2015,18:30,Sábado,08,Goiás,Derrota,0,3,Visitante,Luiz Flávio de Oliveira,30.7,4.2,180.5,5.5,25.4,4.1,179.5,4.8,Serra Dourada,12154
Vasco da Gama,2015,21,29/08/2015,18:30,Sábado,08,Figueirense,Derrota,0,1,Mandante,Francisco Carlos Do Nascimento,28.7,4.6,180.6,5.4,24.9,2.8,180.4,4.6,Estádio São Januário,14857
Vasco da Gama,2015,22,02/09/2015,19:30,Quarta,09,Internacional,Derrota,0,6,Visitante,Ricardo Marques Ribeiro,29.6,5.2,180.5,6.4,25.1,4.2,180.8,5.6,Estádio Beira-Rio,15021
Vasco da Gama,2015,23,05/09/2015,19:30,Sábado,09,Atlético Mineiro,Derrota,1,2,Mandante,Elmo Alves Resende Cunha,28.7,5.2,181.9,6.5,29.5,3.4,182.5,6.9,Estádio do Maracanã,8768
Vasco da Gama,2015,24,09/09/2015,19:30,Quarta,09,Ponte Preta,Vitória,1,0,Visitante,Diego Almeida Real,29.7,4.7,182.2,5.7,27.3,3.6,179.1,6.3,Moisés Lucarelli,3961
Vasco da Gama,2015,25,13/09/2015,16:00,Domingo,09,Athletico,Vitória,2,0,Mandante,Andre Luiz de Freitas Castro,30.5,4.1,181.4,5.8,24.8,4.0,177.5,6.1,Estádio São Januário,10805
Vasco da Gama,2015,26,16/09/2015,22:00,Quarta,09,Cruzeiro,Empate,2,2,Visitante,Thiago Duarte Peixoto,28.8,4.7,181.8,4.9,28.3,4.5,178.2,6.6,Governador Magalhães Pinto,19888
Vasco da Gama,2015,27,20/09/2015,16:00,Domingo,09,Sport Recife,Vitória,2,1,Mandante,Heber Roberto Lopes,29.0,4.0,181.5,4.7,26.0,4.1,179.2,7.1,Estádio do Maracanã,22227
Vasco da Gama,2015,28,27/09/2015,16:00,Domingo,09,Flamengo,Vitória,2,1,Visitante,Leandro Pedro Vuaden,30.8,4.1,181.4,5.8,27.2,5.0,180.0,6.6,Estádio do Maracanã,44361
Vasco da Gama,2015,29,04/10/2015,11:00,Domingo,10,Avaí,Empate,1,1,Visitante,Luis Teixeira Rocha,31.2,3.4,181.5,5.8,25.6,4.3,181.3,8.5,Estádio da Ressacada,14582
Vasco da Gama,2015,30,15/10/2015,19:30,Quinta,10,Chapecoense,Empate,1,1,Mandante,Ricardo Marques Ribeiro,29.5,5.0,182.6,4.8,29.1,2.6,180.3,8.4,Estádio do Maracanã,25983
Vasco da Gama,2015,31,18/10/2015,15:00,Domingo,10,São Paulo,Empate,2,2,Visitante,Dewson Fernando Freitas da Silva,30.9,4.1,181.4,5.8,27.2,6.5,183.5,5.1,MorumBIS,18349
Vasco da Gama,2015,32,25/10/2015,16:00,Domingo,10,Grêmio,Empate,0,0,Mandante,Marcelo Aparecido Ribeiro de Souza,30.0,4.4,182.5,5.2,26.6,4.1,183.5,6.0,Estádio do Maracanã,20207
Vasco da Gama,2015,33,01/11/2015,17:00,Domingo,11,Fluminense,Derrota,0,1,Mandante,Luiz Flávio de Oliveira,30.9,4.1,181.4,5.8,27.1,4.9,178.9,6.5,Estádio Nilton Santos,11957
Vasco da Gama,2015,34,08/11/2015,16:00,Domingo,11,Palmeiras,Vitória,2,0,Visitante,Anderson Daronco,30.0,4.2,179.5,4.7,28.5,6.6,181.9,6.7,Nubank Parque,28800
Vasco da Gama,2015,35,19/11/2015,21:00,Quinta,11,Corinthians,Empate,1,1,Mandante,Anderson Daronco,30.1,4.2,179.5,4.7,27.6,4.5,180.3,8.9,Estádio São Januário,19225
Vasco da Gama,2015,36,22/11/2015,16:00,Domingo,11,Joinville,Vitória,2,1,Visitante,Marcelo Aparecido Ribeiro de Souza,30.1,3.9,179.3,6.0,24.6,3.8,182.7,5.6,Arena Joinville,7026
Vasco da Gama,2015,37,29/11/2015,17:00,Domingo,11,Santos,Vitória,1,0,Mandante,Leandro Pedro Vuaden,31.3,3.3,178.9,5.7,26.2,3.8,180.2,7.1,Estádio São Januário,11618
Vasco da Gama,2015,38,06/12/2015,16:00,Domingo,12,Coritiba,Empate,0,0,Visitante,Anderson Daronco,30.5,4.1,179.2,5.6,27.5,4.0,177.7,7.0,Estádio Major Antônio Couto Pereira,10323
Vasco da Gama,2017,1,14/05/2017,16:00,Domingo,05,Palmeiras,Derrota,0,4,Visitante,Rodolpho Toski Marques,27.1,6.3,180.0,5.5,31.1,6.2,179.1,8.8,Nubank Parque,3325
Vasco da Gama,2017,2,21/05/2017,11:00,Domingo,05,Bahia,Vitória,2,1,Mandante,Leandro Bizzio Marinho,26.6,5.9,179.6,5.9,26.4,3.5,180.3,6.8,Estádio São Januário,19030
Vasco da Gama,2017,3,27/05/2017,16:00,Sábado,05,Fluminense,Vitória,3,2,Mandante,Raphael Claus,26.1,5.5,180.2,6.6,24.8,4.7,181.9,5.0,Estádio São Januário,20442
Vasco da Gama,2017,4,04/06/2017,16:00,Domingo,06,Grêmio,Derrota,0,2,Visitante,Sandro Meira Ricci,25.3,4.4,178.9,7.0,28.1,5.0,179.7,7.0,Arena do Grêmio,22578
Vasco da Gama,2017,5,07/06/2017,21:45,Quarta,06,Corinthians,Derrota,2,5,Mandante,Reway Wagner,26.1,5.5,180.2,6.6,26.0,4.4,178.7,9.2,Estádio São Januário,16288
Vasco da Gama,2017,6,10/06/2017,19:00,Sábado,06,Sport Recife,Vitória,2,1,Mandante,Caio Max Augusto Vieira,26.4,5.4,179.8,7.0,28.5,5.3,178.8,6.6,Estádio São Januário,10273
Vasco da Gama,2017,7,14/06/2017,21:45,Quarta,06,Chapecoense,Derrota,1,2,Visitante,Jailson Macedo Freitas,25.8,5.7,181.1,6.0,27.4,3.1,181.5,7.3,Arena Condá,10003
Vasco da Gama,2017,8,17/06/2017,19:00,Sábado,06,Avaí,Vitória,1,0,Mandante,Rafael Traci,27.2,6.1,180.7,6.4,28.6,4.7,178.2,7.5,Estádio São Januário,10993
Vasco da Gama,2017,9,21/06/2017,21:00,Quarta,06,Botafogo,Derrota,1,3,Visitante,Leandro Pedro Vuaden,27.2,6.1,180.7,6.4,27.1,4.0,181.8,7.1,Estádio Nilton Santos,15048
Vasco da Gama,2017,10,25/06/2017,11:00,Domingo,06,Atlético Goianiense,Vitória,1,0,Mandante,Dyorgines Jose Padovani de Andrade,27.2,6.1,180.7,6.4,25.2,3.1,182.4,5.4,Estádio São Januário,20658
Vasco da Gama,2017,11,02/07/2017,19:00,Domingo,07,Coritiba,Empate,2,2,Visitante,Emerson De Almeida Ferreira,25.9,5.5,180.7,6.4,27.9,3.0,179.5,5.8,Estádio Major Antônio Couto Pereira,8020
Vasco da Gama,2017,12,08/07/2017,18:00,Sábado,07,Flamengo,Derrota,0,1,Mandante,Anderson Daronco,28.4,5.9,180.5,6.4,28.3,3.8,179.2,7.1,Estádio São Januário,19622
Vasco da Gama,2017,13,12/07/2017,21:45,Quarta,07,Vitória,Vitória,4,1,Visitante,Antonio Dib Moraes de Sousa,27.9,4.1,179.5,5.8,27.7,4.7,181.0,6.3,Estádio Manoel Barradas,5548
Vasco da Gama,2017,14,16/07/2017,16:00,Domingo,07,Santos,Empate,0,0,Mandante,Dewson Fernando Freitas da Silva,29.0,4.6,180.1,5.9,26.5,4.0,181.6,5.1,Estádio Nilton Santos,N.A
Vasco da Gama,2017,15,19/07/2017,21:45,Quarta,07,São Paulo,Derrota,0,1,Visitante,Reway Wagner,28.1,4.5,181.1,6.2,27.8,2.4,181.3,8.5,MorumBIS,22574
Vasco da Gama,2017,16,23/07/2017,19:00,Domingo,07,Atlético Mineiro,Vitória,2,1,Visitante,Raphael Claus,25.7,6.1,180.1,6.2,27.2,4.3,180.6,6.9,Arena Independência,12497
Vasco da Gama,2017,17,31/07/2017,20:00,Segunda,07,Athletico,Derrota,0,1,Mandante,Claudio Francisco Lima E. Silva,24.5,5.6,179.9,6.1,26.4,5.1,182.0,5.3,Estádio Raulino de Oliveira,8330
Vasco da Gama,2017,18,03/08/2017,20:00,Quinta,08,Cruzeiro,Derrota,0,3,Mandante,Vinicius Goncalves Dias Araujo,25.9,5.8,178.5,5.6,27.9,5.1,178.0,7.4,Estádio Raulino de Oliveira,5780
Vasco da Gama,2017,19,06/08/2017,19:00,Domingo,08,Ponte Preta,Empate,0,0,Visitante,Sandro Meira Ricci,23.5,4.7,180.2,7.0,29.7,5.4,178.7,7.1,Moisés Lucarelli,6310
Vasco da Gama,2017,20,13/08/2017,16:00,Domingo,08,Palmeiras,Empate,1,1,Mandante,Paulo Roberto Alves Junior,27.7,6.1,180.3,6.0,29.5,5.3,180.7,6.2,Estádio Raulino de Oliveira,5323
Vasco da Gama,2017,21,20/08/2017,16:00,Domingo,08,Bahia,Derrota,0,3,Visitante,Raphael Claus,28.1,6.1,181.3,5.7,25.8,3.4,180.2,7.3,Arena Fonte Nova,21691
Vasco da Gama,2017,22,26/08/2017,16:00,Sábado,08,Fluminense,Vitória,1,0,Visitante,Ricardo Marques Ribeiro,28.4,4.7,180.2,5.6,25.7,3.6,181.7,5.7,Estádio Giulite Coutinho,23460
Vasco da Gama,2017,23,09/09/2017,18:00,Sábado,09,Grêmio,Vitória,1,0,Mandante,Heber Roberto Lopes,29.2,4.3,179.6,5.7,29.1,4.7,178.4,6.8,Estádio São Januário,N.A
Vasco da Gama,2017,24,17/09/2017,16:00,Domingo,09,Corinthians,Derrota,0,1,Visitante,Elmo Alves Resende Cunha,28.3,4.8,181.0,5.1,27.1,4.0,180.1,8.4,Neo Química Arena,41235
Vasco da Gama,2017,25,25/09/2017,20:00,Segunda,09,Sport Recife,Empate,1,1,Visitante,Sandro Meira Ricci,27.9,4.5,179.8,6.2,29.8,3.7,180.5,5.2,Ilha do Retiro,15701
Vasco da Gama,2017,26,30/09/2017,16:00,Sábado,09,Chapecoense,Empate,1,1,Mandante,Wilton Pereira Sampaio,27.9,4.5,179.8,6.2,27.4,3.9,181.5,6.1,Estádio São Januário,N.A
Vasco da Gama,2017,27,11/10/2017,21:45,Quarta,10,Avaí,Vitória,2,1,Visitante,Reway Wagner,28.9,4.7,179.9,5.0,26.7,4.2,180.2,6.8,Estádio da Ressacada,8952
Vasco da Gama,2017,28,14/10/2017,19:00,Sábado,10,Botafogo,Vitória,1,0,Mandante,Vinicius Goncalves Dias Araujo,28.1,5.0,180.8,5.8,26.9,3.2,181.1,7.1,Estádio São Januário,31406
Vasco da Gama,2017,29,18/10/2017,18:30,Quarta,10,Atlético Goianiense,Vitória,1,0,Visitante,Claudio Francisco Lima E. Silva,27.8,4.6,180.4,6.7,25.3,2.5,179.7,5.3,Serra Dourada,9046
Vasco da Gama,2017,30,21/10/2017,16:00,Sábado,10,Coritiba,Empate,1,1,Mandante,Raphael Claus,27.9,4.5,179.8,6.2,27.7,2.2,179.3,4.1,Estádio do Maracanã,30351
Vasco da Gama,2017,31,28/10/2017,18:00,Sábado,10,Flamengo,Empate,0,0,Visitante,Ricardo Marques Ribeiro,28.3,4.6,179.5,5.6,29.9,4.7,178.5,6.5,Estádio do Maracanã,24813
