time,temporada,rodada,data,horario,dia_semana,mes,adversario,resultado,gols_favor,gols_sofridos,condicao,arbitro,idade_media_titular_time,desvio_idade_media_time,altura_media_titular_time,desvio_altura_media_time,idade_media_titular_adv,desvio_idade_media_adv,altura_media_titular_adv,desvio_altura_media_adv,estadio,publico
Atlético Mineiro,2015,1,09/05/2015,18:30,Sábado,05,Palmeiras,Empate,2,2,Visitante,Felipe Gomes Da Silva,27.8,4.0,182.9,8.7,28.2,6.3,178.6,8.8,Nubank Parque,28781
Atlético Mineiro,2015,2,17/05/2015,16:00,Domingo,05,Fluminense,Vitória,4,1,Mandante,Anderson Daronco,26.3,4.9,180.7,7.9,27.3,4.8,181.5,6.6,Arena Independência,11958
Atlético Mineiro,2015,3,24/05/2015,16:00,Domingo,05,Athletico,Derrota,0,1,Visitante,Thiago Duarte Peixoto,26.4,4.9,180.7,7.9,24.9,3.8,178.7,8.5,Arena da Baixada,13510
Atlético Mineiro,2015,4,31/05/2015,16:00,Domingo,05,Vasco da Gama,Vitória,3,0,Mandante,Alisson Sidnei Furtado,26.9,4.7,180.7,7.9,28.3,5.1,179.6,7.8,Arena Independência,17958
Atlético Mineiro,2015,5,03/06/2015,22:00,Quarta,06,Avaí,Vitória,4,1,Visitante,Pablo Dos Santos Alves,26.5,4.5,180.9,7.6,26.8,5.2,180.8,7.4,Estádio da Ressacada,7101
Atlético Mineiro,2015,6,06/06/2015,18:30,Sábado,06,Cruzeiro,Derrota,1,3,Mandante,Marcelo de Lima Henrique,26.6,4.6,180.2,7.7,26.7,4.2,177.8,6.7,Arena Independência,20092
Atlético Mineiro,2015,7,10/06/2015,19:30,Quarta,06,Santos,Empate,2,2,Mandante,Wilton Pereira Sampaio,27.0,4.6,181.4,7.0,25.5,5.0,179.5,8.2,Arena Independência,10536
Atlético Mineiro,2015,8,20/06/2015,16:30,Sábado,06,Flamengo,Vitória,2,0,Visitante,Thiago Duarte Peixoto,27.9,4.1,181.7,6.9,27.6,4.3,179.2,7.0,Estádio do Maracanã,42318
Atlético Mineiro,2015,9,28/06/2015,11:00,Domingo,06,Joinville,Vitória,1,0,Mandante,Emerson Luiz Sobral,28.1,4.0,181.8,6.7,26.1,5.9,181.5,4.6,Arena Independência,55987
Atlético Mineiro,2015,10,01/07/2015,21:00,Quarta,07,Coritiba,Vitória,2,0,Mandante,Braulio Da Silva Machado,27.3,4.8,181.4,7.0,26.4,4.5,180.3,3.6,Arena Independência,13309
Atlético Mineiro,2015,11,05/07/2015,18:30,Domingo,07,Internacional,Vitória,3,1,Visitante,Raphael Claus,27.8,3.5,181.2,6.0,27.1,4.7,180.8,7.3,Estádio Beira-Rio,16812
